,Player,Pos,Season,Age,Team,Comp,Ideal Archetype
1,Yunis Abdelhamid,CB,2023-2024,35,Reims,Ligue 1,Libero
2,Nabil Aberdin,CB,2023-2024,20,Getafe,La Liga,Ball Playing Center Back
4,Abdel Abqar,CB,2023-2024,24,Alavés,La Liga,Libero
5,Francesco Acerbi,CB,2023-2024,35,Inter,Serie A,Libero
8,Tosin Adarabioyo,CB,2023-2024,25,Fulham,Premier League,Libero
9,Nathaniel Adjei,CB,2023-2024,20,Lorient,Ligue 1,Ball Playing Center Back
10,Adryelson,CB,2023-2024,25,Lyon,Ligue 1,Ball Playing Center Back
11,Emmanuel Agbadou,CB,2023-2024,26,Reims,Ligue 1,Libero
13,Nayef Aguerd,CB,2023-2024,27,West Ham,Premier League,Libero
15,Anel Ahmedhodžić,CB,2023-2024,24,Sheffield Utd,Premier League,Libero
16,Joseph Aidoo,CB,2023-2024,27,Celta Vigo,La Liga,Ball Playing Center Back
19,Kristoffer Ajer,CB,2023-2024,25,Brentford,Premier League,Ball Playing Center Back
20,Manuel Akanji,CB,2023-2024,28,Manchester City,Premier League,Libero
21,Nathan Aké,CB,2023-2024,28,Manchester City,Premier League,Libero
23,Kevin Akpoguma,CB,2023-2024,28,Hoffenheim,Bundesliga,Ball Playing Center Back
24,David Alaba,CB,2023-2024,31,Real Madrid,La Liga,Ball Playing Center Back
25,Raúl Albiol,CB,2023-2024,37,Villarreal,La Liga,Libero
26,Omar Alderete,CB,2023-2024,26,Getafe,La Liga,Libero
31,Gastón Álvarez,CB,2023-2024,23,Getafe,La Liga,Libero
33,Yeray Álvarez,CB,2023-2024,28,Athletic Club,La Liga,Ball Playing Center Back
36,Bruno Amione,CB,2023-2024,21,Hellas Verona,Serie A,Ball Playing Center Back
38,Joachim Andersen,CB,2023-2024,27,Crystal Palace,Premier League,Libero
39,Miguel Ángel Rubio,CB,2023-2024,25,Granada,La Liga,Ball Playing Center Back
42,Waldemar Anton,CB,2023-2024,27,Stuttgart,Bundesliga,Libero
45,Ronald Araújo,CB,2023-2024,24,Barcelona,La Liga,Libero
53,Yann Aurel Bisseck,CB,2023-2024,22,Inter,Serie A,Ball Playing Center Back
55,César Azpilicueta,CB,2023-2024,33,Atlético Madrid,La Liga,Libero
57,Srđan Babić,CB,2023-2024,27,Almería,La Liga,Ball Playing Center Back
59,Loïc Bade,CB,2023-2024,23,Sevilla,La Liga,Libero
61,Benoît Badiashile,CB,2023-2024,22,Chelsea,Premier League,Libero
62,Eric Bailly,CB,2023-2024,29,Villarreal,La Liga,Ball Playing Center Back
67,Leonardo Balerdi,CB,2023-2024,24,Marseille,Ligue 1,Libero
70,Mattia Bani,CB,2023-2024,29,Genoa,Serie A,Libero
73,Davide Bartesaghi,CB,2023-2024,17,Milan,Serie A,Ball Playing Center Back
74,Marc Bartra,CB,2023-2024,32,Betis,La Liga,Ball Playing Center Back
75,Federico Baschirotto,CB,2023-2024,26,Lecce,Serie A,Libero
76,Steven Baseya,CB,2023-2024,18,Strasbourg,Ligue 1,Ball Playing Center Back
77,Chris Basham,CB,2023-2024,35,Sheffield Utd,Premier League,Ball Playing Center Back
78,Calvin Bassey,CB,2023-2024,23,Fulham,Premier League,Libero
79,Alessandro Bastoni,CB,2023-2024,24,Inter,Serie A,Libero
81,Maximilian Bauer,CB,2023-2024,23,Augsburg,Bundesliga,Ball Playing Center Back
84,Amari'i Bell,CB,2023-2024,29,Luton Town,Premier League,Libero
85,Stefan Bell,CB,2023-2024,31,Mainz 05,Bundesliga,Ball Playing Center Back
88,Jeanuël Belocian,CB,2023-2024,18,Rennes,Ligue 1,Libero
90,Lucas Beraldo,CB,2023-2024,19,Paris S-G,Ligue 1,Libero
