,Player,Pos,Season,Age,Team,Comp,Ideal Archetype
0,Keyliane Abdallah,RW,2023-2024,17.0,Marseille,Ligue 1,Classic Winger
2,Zakaria Aboukhlal,RW,2023-2024,23.0,Toulouse,Ligue 1,Classic Winger
4,Bénie Adama Traore,LW,2023-2024,20.0,2 Teams,2 Comps,Classic Winger
9,Karim Adeyemi,LW,2023-2024,21.0,Dortmund,Bundesliga,Classic Winger
10,Simon Adingra,RW,2023-2024,21.0,Brighton,Premier League,Inverted Winger
11,Brandon Aguilera,RW,2023-2024,20.0,Nott'ham Forest,Premier League,Classic Winger
13,Marley Aké,LW,2023-2024,22.0,Udinese,Serie A,Classic Winger
15,Mohamed Ali Cho,LW,2023-2024,19.0,2 Teams,2 Comps,Inverted Winger
16,Faride Alidou,RW,2023-2024,22.0,Köln,Bundesliga,Inverted Winger
18,Miguel Almirón,RW,2023-2024,29.0,Newcastle Utd,Premier League,Inverted Winger
19,Pontus Almqvist,RW,2023-2024,24.0,Lecce,Serie A,Inverted Winger
20,Papa Amadou Diallo,LW,2023-2024,19.0,Metz,Ligue 1,Classic Winger
22,Amath,RW,2023-2024,27.0,Mallorca,La Liga,Classic Winger
24,Felipe Anderson,RW,2023-2024,30.0,Lazio,Serie A,Inverted Winger
26,Jaidon Anthony,LW,2023-2024,23.0,Bournemouth,Premier League,Classic Winger
28,Antony,RW,2023-2024,23.0,Manchester Utd,Premier League,Inverted Winger
29,Christopher Antwi-Adjei,LW,2023-2024,29.0,Bochum,Bundesliga,Inverted Winger
30,Stredair Appuah,LW,2023-2024,19.0,Nantes,Ligue 1,Classic Winger
32,Adu Ares,RW,2023-2024,21.0,Athletic Club,La Liga,Classic Winger
34,José Arnaiz,LW,2023-2024,28.0,Osasuna,La Liga,Classic Winger
35,Hákon Arnar Haraldsson,LW,2023-2024,20.0,Lille,Ligue 1,Inverted Winger
37,Takuma Asano,RW,2023-2024,28.0,Bochum,Bundesliga,Inverted Winger
38,Marco Asensio,RW,2023-2024,27.0,Paris S-G,Ligue 1,Inverted Winger
39,Joel Asoro,RW,2023-2024,24.0,Metz,Ligue 1,Classic Winger
42,Ezequiel Ávila,RW,2023-2024,29.0,2 Teams,La Liga,Inverted Winger
45,Jordan Ayew,LW,2023-2024,31.0,Crystal Palace,Premier League,Inverted Winger
48,Jaime Báez,LW,2023-2024,28.0,Frosinone,Serie A,Classic Winger
49,Leon Bailey,RW,2023-2024,25.0,Aston Villa,Premier League,Inverted Winger
51,Dilane Bakwa,RW,2023-2024,20.0,Strasbourg,Ligue 1,Inverted Winger
52,Aliou Baldé,RW,2023-2024,20.0,Nice,Ligue 1,Classic Winger
55,Samuel Bamba,LW,2023-2024,19.0,Dortmund,Bundesliga,Classic Winger
56,Lameck Banda,LW,2023-2024,22.0,Lecce,Serie A,Inverted Winger
57,Mamady Bangré,RW,2023-2024,22.0,Toulouse,Ligue 1,Classic Winger
58,Léo Baptistão,RW,2023-2024,30.0,Almería,La Liga,Inverted Winger
59,Bradley Barcola,LW,2023-2024,20.0,2 Teams,Ligue 1,Inverted Winger
60,Kike Barja,LW,2023-2024,26.0,Osasuna,La Liga,Classic Winger
61,Harvey Barnes,LW,2023-2024,25.0,Newcastle Utd,Premier League,Classic Winger
62,Ander Barrenetxea,LW,2023-2024,21.0,Real Sociedad,La Liga,Inverted Winger
73,Saïd Benrahma,LW,2023-2024,27.0,2 Teams,2 Comps,Inverted Winger
74,Domenico Berardi,RW,2023-2024,28.0,Sassuolo,Serie A,Inverted Winger
75,Álex Berenguer,LW,2023-2024,28.0,Athletic Club,La Liga,Inverted Winger
76,Mergim Berisha,RW,2023-2024,25.0,2 Teams,Bundesliga,Classic Winger
77,Jan-Niklas Beste,LW,2023-2024,24.0,Heidenheim,Bundesliga,Inverted Winger
80,Ludovic Blas,RW,2023-2024,25.0,Rennes,Ligue 1,Inverted Winger
82,Benicio Boaitey,LW,2023-2024,19.0,Brighton,Premier League,Classic Winger
83,Oscar Bobb,RW,2023-2024,20.0,Manchester City,Premier League,Classic Winger
84,Jeremie Boga,LW,2023-2024,26.0,Nice,Ligue 1,Inverted Winger
88,Ângelo Borges,RW,2023-2024,18.0,Strasbourg,Ligue 1,Inverted Winger
