,Player,Pos,Season,Age,Team,Comp,Ideal Archetype
0,Alisson,GK,2023-2024,30,Liverpool,Premier League,Modern GK
1,Alphonse Areola,GK,2023-2024,30,West Ham,Premier League,Classic GK
2,Simone Aresti,GK,2023-2024,37,Cagliari,Serie A,Modern GK
3,Noah Atubolu,GK,2023-2024,21,Freiburg,Bundesliga,Classic GK
4,Oliver Baumann,GK,2023-2024,33,Hoffenheim,Bundesliga,Classic GK
5,Alaa Bellaarouch,GK,2023-2024,21,Strasbourg,Ligue 1,Modern GK
6,Etrit Berisha,GK,2023-2024,34,Empoli,Serie A,Modern GK
7,Marco Bizot,GK,2023-2024,32,Brest,Ligue 1,Classic GK
8,Janis Blaswich,GK,2023-2024,32,RB Leipzig,Bundesliga,Modern GK
9,Marcin Bułka,GK,2023-2024,23,Nice,Ligue 1,Sweeper Keeper
10,Elia Caprile,GK,2023-2024,21,Empoli,Serie A,Sweeper Keeper
11,Marco Carnesecchi,GK,2023-2024,23,Atalanta,Serie A,Classic GK
12,Koen Casteels,GK,2023-2024,31,Wolfsburg,Bundesliga,Classic GK
13,Lucas Chevalier,GK,2023-2024,21,Lille,Ligue 1,Sweeper Keeper
14,Oliver Christensen,GK,2023-2024,24,Fiorentina,Serie A,Modern GK
15,Andrea Consigli,GK,2023-2024,36,Sassuolo,Serie A,Classic GK
16,Benoît Costil,GK,2023-2024,36,Salernitana,Serie A,Modern GK
17,Alessio Cragno,GK,2023-2024,29,Sassuolo,Serie A,Modern GK
18,Finn Dahmen,GK,2023-2024,25,Augsburg,Bundesliga,Sweeper Keeper
19,Rémy Descamps,GK,2023-2024,27,Nantes,Ligue 1,Modern GK
20,Arthur Desmas,GK,2023-2024,29,Le Havre,Ligue 1,Sweeper Keeper
21,Michele Di Gregorio,GK,2023-2024,26,Monza,Serie A,Classic GK
22,Mory Diaw,GK,2023-2024,30,Clermont Foot,Ligue 1,Sweeper Keeper
23,Stole Dimitrievski,GK,2023-2024,29,Rayo Vallecano,La Liga,Classic GK
24,Yehvann Diouf,GK,2023-2024,23,Reims,Ligue 1,Sweeper Keeper
25,Marko Dmitrović,GK,2023-2024,31,Sevilla,La Liga,Modern GK
26,Gianluigi Donnarumma,GK,2023-2024,24,Paris S-G,Ligue 1,Modern GK
27,Martin Dúbravka,GK,2023-2024,34,Newcastle Utd,Premier League,Sweeper Keeper
28,Ederson,GK,2023-2024,29,Manchester City,Premier League,Sweeper Keeper
29,Łukasz Fabiański,GK,2023-2024,38,West Ham,Premier League,Modern GK
30,Wladimiro Falcone,GK,2023-2024,28,Lecce,Serie A,Modern GK
31,Aitor Fernández,GK,2023-2024,32,Osasuna,La Liga,Modern GK
32,André Ferreira,GK,2023-2024,27,Granada,La Liga,Modern GK
33,Mark Flekken,GK,2023-2024,30,Brentford,Premier League,Classic GK
34,Wes Foderingham,GK,2023-2024,32,Sheffield Utd,Premier League,Classic GK
35,Paulo Gazzaniga,GK,2023-2024,31,Girona,La Liga,Sweeper Keeper
36,Luca Gemello,GK,2023-2024,23,Torino,Serie A,Modern GK
37,Mathieu Gorgelin,GK,2023-2024,32,Le Havre,Ligue 1,Modern GK
38,Vicente Guaita,GK,2023-2024,36,Celta Vigo,La Liga,Classic GK
39,Dean Henderson,GK,2023-2024,26,Crystal Palace,Premier League,Modern GK
40,Sergio Herrera,GK,2023-2024,30,Osasuna,La Liga,Classic GK
41,Sam Johnstone,GK,2023-2024,30,Crystal Palace,Premier League,Classic GK
42,Filip Jørgensen,GK,2023-2024,21,Villarreal,La Liga,Sweeper Keeper
43,Thomas Kaminski,GK,2023-2024,30,Luton Town,Premier League,Classic GK
44,Gregor Kobel,GK,2023-2024,25,Dortmund,Bundesliga,Modern GK
45,Philipp Köhn,GK,2023-2024,25,Monaco,Ligue 1,Sweeper Keeper
46,Alban Lafont,GK,2023-2024,24,Nantes,Ligue 1,Sweeper Keeper
47,Benjamin Lecomte,GK,2023-2024,32,Montpellier,Ligue 1,Sweeper Keeper
48,Jeremías Ledesma,GK,2023-2024,30,Cádiz,La Liga,Classic GK
49,Bernd Leno,GK,2023-2024,31,Fulham,Premier League,Classic GK
50,Anthony Lopes,GK,2023-2024,32,Lyon,Ligue 1,Sweeper Keeper
51,Pau López,GK,2023-2024,28,Marseille,Ligue 1,Modern GK
52,Andriy Lunin,GK,2023-2024,24,Real Madrid,La Liga,Sweeper Keeper
53,Mike Maignan,GK,2023-2024,28,Milan,Serie A,Sweeper Keeper
54,Giorgi Mamardashvili,GK,2023-2024,22,Valencia,La Liga,Classic GK
55,Steve Mandanda,GK,2023-2024,38,Rennes,Ligue 1,Sweeper Keeper
56,Diego Mariño,GK,2023-2024,33,Almería,La Liga,Modern GK
57,Unai Marrero,GK,2023-2024,21,Real Sociedad,La Liga,Modern GK
58,Emiliano Martínez,GK,2023-2024,30,Aston Villa,Premier League,Sweeper Keeper
59,Josep Martinez,GK,2023-2024,25,Genoa,Serie A,Sweeper Keeper
60,Marc Martínez,GK,2023-2024,33,Granada,La Liga,Modern GK
61,Luís Maximiano,GK,2023-2024,24,Almería,La Liga,Classic GK
62,Alex Meret,GK,2023-2024,26,Napoli,Serie A,Modern GK
63,Vanja Milinković-Savić,GK,2023-2024,26,Torino,Serie A,Classic GK
64,Lorenzo Montipò,GK,2023-2024,27,Hellas Verona,Serie A,Classic GK
65,Kevin Müller,GK,2023-2024,32,Heidenheim,Bundesliga,Classic GK
66,Arijanet Muric,GK,2023-2024,24,Burnley,Premier League,Sweeper Keeper
67,Juan Musso,GK,2023-2024,29,Atalanta,Serie A,Modern GK
68,Yvon Mvogo,GK,2023-2024,29,Lorient,Ligue 1,Modern GK
69,Keylor Navas,GK,2023-2024,36,Paris S-G,Ligue 1,Modern GK
70,Massamba Ndiaye,GK,2023-2024,21,Clermont Foot,Ligue 1,Modern GK
71,Neto,GK,2023-2024,34,Bournemouth,Premier League,Classic GK
72,Manuel Neuer,GK,2023-2024,37,Bayern Munich,Bundesliga,Modern GK
73,Moritz Nicolas,GK,2023-2024,25,Gladbach,Bundesliga,Modern GK
74,Alexander Nübel,GK,2023-2024,26,Stuttgart,Bundesliga,Sweeper Keeper
75,Ørjan Nyland,GK,2023-2024,32,Sevilla,La Liga,Classic GK
76,Jan Oblak,GK,2023-2024,30,Atlético Madrid,La Liga,Sweeper Keeper
77,Guillermo Ochoa,GK,2023-2024,38,Salernitana,Serie A,Modern GK
78,Maduka Okoye,GK,2023-2024,23,Udinese,Serie A,Modern GK
79,Robin Olsen,GK,2023-2024,33,Aston Villa,Premier League,Modern GK
80,Jonas Omlin,GK,2023-2024,29,Gladbach,Bundesliga,Modern GK
81,André Onana,GK,2023-2024,27,Manchester Utd,Premier League,Sweeper Keeper
82,Alexandre Oukidja,GK,2023-2024,35,Metz,Ligue 1,Classic GK
83,Rui Patrício,GK,2023-2024,35,Roma,Serie A,Modern GK
84,Jiří Pavlenka,GK,2023-2024,31,Werder Bremen,Bundesliga,Modern GK
85,Đorđe Petrović,GK,2023-2024,23,Chelsea,Premier League,Modern GK
86,Jordan Pickford,GK,2023-2024,29,Everton,Premier League,Classic GK
87,Ivan Provedel,GK,2023-2024,29,Lazio,Serie A,Modern GK
88,Predrag Rajković,GK,2023-2024,27,Mallorca,La Liga,Classic GK
89,Federico Ravaglia,GK,2023-2024,23,Bologna,Serie A,Modern GK
90,David Raya,GK,2023-2024,27,Arsenal,Premier League,Sweeper Keeper
91,Álex Remiro,GK,2023-2024,28,Real Sociedad,La Liga,Classic GK
92,Guillaume Restes,GK,2023-2024,18,Toulouse,Ligue 1,Modern GK
93,Manuel Riemann,GK,2023-2024,34,Bochum,Bundesliga,Sweeper Keeper
94,Frederik Rønnow,GK,2023-2024,30,Union Berlin,Bundesliga,Sweeper Keeper
95,José Sá,GK,2023-2024,30,Wolves,Premier League,Sweeper Keeper
