,Player,Pos,Season,Age,Team,Comp,Ideal Archetype
0,Brenden Aaronson,CM,2023-2024,22,Union Berlin,Bundesliga,Box-to-Box
1,Paxten Aaronson,CM,2023-2024,19,Eint Frankfurt,Bundesliga,Classic CM
2,Salis Abdul Samed,CM,2023-2024,23,Lens,Ligue 1,Box-to-Box
3,Laurent Abergel,CM,2023-2024,30,Lorient,Ligue 1,Box-to-Box
4,Tyler Adams,CM,2023-2024,24,Bournemouth,Premier League,Classic CM
8,Lucien Agoume,CM,2023-2024,21,Sevilla,La Liga,Classic CM
13,Ebenezer Akinsanmiro,CM,2023-2024,18,Inter,Serie A,Classic CM
18,Thiago Alcántara,CM,2023-2024,32,Liverpool,Premier League,Classic CM
19,Carlos Alcaraz,CM,2023-2024,20,Juventus,Serie A,Classic CM
20,Rubén Alcaraz,CM,2023-2024,32,Cádiz,La Liga,Box-to-Box
30,Skelly Alvero,CM,2023-2024,21,Werder Bremen,Bundesliga,Classic CM
31,Lorenzo Amatucci,CM,2023-2024,19,Fiorentina,Serie A,Classic CM
32,Nadiem Amiri,CM,2023-2024,26,2 Teams,Bundesliga,Box-to-Box
34,Sofyan Amrabat,CM,2023-2024,26,Fiorentina,Serie A,Classic CM
35,Elliot Anderson,CM,2023-2024,20,Newcastle Utd,Premier League,Classic CM
36,Benjamin André,CM,2023-2024,32,Lille,Ligue 1,Box-to-Box
37,Robert Andrich,CM,2023-2024,28,Leverkusen,Bundesliga,Box-to-Box
38,Houssem Aouar,CM,2023-2024,25,Roma,Serie A,Classic CM
39,Mauro Arambarri,CM,2023-2024,27,Getafe,La Liga,Classic CM
40,Oliver Arblaster,CM,2023-2024,19,Sheffield Utd,Premier League,Classic CM
41,Maximilian Arnold,CM,2023-2024,29,Wolfsburg,Bundesliga,Box-to-Box
43,Kristjan Asllani,CM,2023-2024,21,Inter,Serie A,Box-to-Box
44,Valentin Atangana Edoa,CM,2023-2024,17,Reims,Ligue 1,Classic CM
45,Arthur Atta,CM,2023-2024,20,Metz,Ligue 1,Classic CM
46,Neil El Aynaoui,CM,2023-2024,22,Lens,Ligue 1,Box-to-Box
50,Milan Badelj,CM,2023-2024,34,Genoa,Serie A,Box-to-Box
52,Stefan Bajcetic,CM,2023-2024,18,Liverpool,Premier League,Classic CM
54,Tiemoué Bakayoko,CM,2023-2024,28,Lorient,Ligue 1,Box-to-Box
58,Daniel Bandeira,CM,2023-2024,23,Hellas Verona,Serie A,Classic CM
59,Shandon Baptiste,CM,2023-2024,25,Brentford,Premier League,Classic CM
61,Nicolò Barella,CM,2023-2024,26,Inter,Serie A,Box-to-Box
62,Ross Barkley,CM,2023-2024,29,Luton Town,Premier League,Box-to-Box
64,Leandro Barreiro Martins,CM,2023-2024,23,Mainz 05,Bundesliga,Box-to-Box
65,Enzo Barrenechea,CM,2023-2024,22,Frosinone,Serie A,Box-to-Box
66,Pablo Barrios,CM,2023-2024,20,Atlético Madrid,La Liga,Box-to-Box
67,Toma Bašić,CM,2023-2024,26,2 Teams,Serie A,Classic CM
68,Simone Bastoni,CM,2023-2024,26,Empoli,Serie A,Classic CM
71,Donny van de Beek,CM,2023-2024,26,Eint Frankfurt,Bundesliga,Classic CM
72,Reda Belahyane,CM,2023-2024,19,Hellas Verona,Serie A,Classic CM
73,Jean-Ricner Bellegarde,CM,2023-2024,25,Wolves,Premier League,Classic CM
74,Jude Bellingham,CM,2023-2024,20,Real Madrid,La Liga,Box-to-Box
75,Fran Beltrán,CM,2023-2024,24,Celta Vigo,La Liga,Box-to-Box
76,Anis Ben Slimane,CM,2023-2024,22,Sheffield Utd,Premier League,Classic CM
82,Sander Berge,CM,2023-2024,25,Burnley,Premier League,Box-to-Box
83,Matúš Bero,CM,2023-2024,27,Bochum,Bundesliga,Classic CM
84,Luke Berry,CM,2023-2024,31,Luton Town,Premier League,Classic CM
85,Philip Billing,CM,2023-2024,27,Bournemouth,Premier League,Classic CM
87,Yves Bissouma,CM,2023-2024,26,Tottenham,Premier League,Box-to-Box
88,Leonardo Bittencourt,CM,2023-2024,29,Werder Bremen,Bundesliga,Box-to-Box
90,Alexis Blin,CM,2023-2024,26,Lecce,Serie A,Classic CM
91,Emil Bohinen,CM,2023-2024,24,2 Teams,Serie A,Classic CM
93,Giacomo Bonaventura,CM,2023-2024,33,Fiorentina,Serie A,Box-to-Box
94,Warren Bondo,CM,2023-2024,19,Monza,Serie A,Box-to-Box
97,Hicham Boudaoui,CM,2023-2024,23,Nice,Ligue 1,Box-to-Box
100,Edoardo Bove,CM,2023-2024,21,Roma,Serie A,Box-to-Box
105,Marco Brescianini,CM,2023-2024,23,Frosinone,Serie A,Box-to-Box
106,Andre Brooks,CM,2023-2024,19,Sheffield Utd,Premier League,Classic CM
108,Josh Brownhill,CM,2023-2024,27,Burnley,Premier League,Box-to-Box
110,Manu Bueno,CM,2023-2024,19,Sevilla,La Liga,Classic CM
113,Jens Cajuste,CM,2023-2024,23,Napoli,Serie A,Classic CM
114,Hakan Çalhanoğlu,CM,2023-2024,29,Inter,Serie A,Box-to-Box
116,Lamine Camara,CM,2023-2024,19,Metz,Ligue 1,Box-to-Box
118,Mohamed Camara,CM,2023-2024,23,Monaco,Ligue 1,Regista
120,José Campaña,CM,2023-2024,30,Las Palmas,La Liga,Classic CM
124,Gino Caoki,CM,2023-2024,19,Lorient,Ligue 1,Classic CM
125,Étienne Capoue,CM,2023-2024,35,Villarreal,La Liga,Regista
127,Maxence Caqueret,CM,2023-2024,23,Lyon,Ligue 1,Regista
132,Marc Casado,CM,2023-2024,19,Barcelona,La Liga,Classic CM
134,Cristian Cásseres Jr.,CM,2023-2024,23,Toulouse,Ligue 1,Regista
135,Danilo Cataldi,CM,2023-2024,28,Lazio,Serie A,Regista
136,Dani Ceballos,CM,2023-2024,26,Real Madrid,La Liga,Classic CM
140,Charlys,CM,2023-2024,19,Hellas Verona,Serie A,Classic CM
143,Pedro Chirivella,CM,2023-2024,26,Nantes,Ligue 1,Regista
148,Carney Chukwuemeka,CM,2023-2024,19,Chelsea,Premier League,Classic CM
149,Pathé Ciss,CM,2023-2024,29,Rayo Vallecano,La Liga,Regista
150,Djaoui Cissé,CM,2023-2024,19,Rennes,Ligue 1,Classic CM
151,Bobby Clark,CM,2023-2024,18,Liverpool,Premier League,Classic CM
154,Silvi Clúa,CM,2023-2024,18,Girona,La Liga,Classic CM
156,Santi Comesaña,CM,2023-2024,26,Villarreal,La Liga,Regista
157,Alois Confais,CM,2023-2024,26,Le Havre,Ligue 1,Classic CM
158,Lewis Cook,CM,2023-2024,26,Bournemouth,Premier League,Regista
163,Lassana Coulibaly,CM,2023-2024,27,Salernitana,Serie A,Regista
168,Josh Cullen,CM,2023-2024,27,Burnley,Premier League,Regista
169,Mahmoud Dahoud,CM,2023-2024,27,Brighton,Premier League,Classic CM
170,Mikkel Damsgaard,CM,2023-2024,23,Brentford,Premier League,Classic CM
172,Sergi Darder,CM,2023-2024,29,Mallorca,La Liga,Regista
174,Tom Davies,CM,2023-2024,25,Sheffield Utd,Premier League,Classic CM
176,Rodrigo De Paul,CM,2023-2024,29,Atlético Madrid,La Liga,Regista
177,Alessandro Deiola,CM,2023-2024,27,Cagliari,Serie A,Classic CM
178,Sacha Delaye,CM,2023-2024,21,Montpellier,Ligue 1,Classic CM
179,Karamoko Dembélé,CM,2023-2024,20,Brest,Ligue 1,Classic CM
180,Jessy Deminguet,CM,2023-2024,25,Strasbourg,Ligue 1,Classic CM
183,Samuele Di Benedetto,CM,2023-2024,18,Stuttgart,Bundesliga,Classic CM
185,Moussa Diakité,CM,2023-2024,19,Cádiz,La Liga,Classic CM
186,Habib Diarra,CM,2023-2024,19,Strasbourg,Ligue 1,Regista
187,Mahamadou Diawara,CM,2023-2024,18,Lyon,Ligue 1,Classic CM
188,Edan Diop,CM,2023-2024,18,Monaco,Ligue 1,Classic CM
189,Andy Diouf,CM,2023-2024,20,Lens,Ligue 1,Regista
190,Nicolás Domínguez,CM,2023-2024,25,Nott'ham Forest,Premier League,Regista
192,Carlos Dotor,CM,2023-2024,22,Celta Vigo,La Liga,Classic CM
193,Cheick Doucouré,CM,2023-2024,23,Crystal Palace,Premier League,Classic CM
195,Douglas,CM,2023-2024,26,Nantes,Ligue 1,Regista
196,Ismaël Doukouré,CM,2023-2024,20,Strasbourg,Ligue 1,Regista
199,Tommy Doyle,CM,2023-2024,21,Wolves,Premier League,Regista
200,Ondrej Duda,CM,2023-2024,28,Hellas Verona,Serie A,Regista
202,Simon Ebonog,CM,2023-2024,18,Le Havre,Ligue 1,Classic CM
203,Éderson,CM,2023-2024,24,Atalanta,Serie A,Regista
204,Maximilian Eggestein,CM,2023-2024,26,Freiburg,Bundesliga,Regista
206,Harvey Elliott,CM,2023-2024,20,Liverpool,Premier League,Regista
209,Wataru Endo,CM,2023-2024,30,Liverpool,Premier League,Regista
210,Arne Engels,CM,2023-2024,19,Augsburg,Bundesliga,Classic CM
211,Christian Eriksen,CM,2023-2024,31,Manchester Utd,Premier League,Regista
212,Gonzalo Escalante,CM,2023-2024,30,Cádiz,La Liga,Classic CM
215,Nicolò Fagioli,CM,2023-2024,22,Juventus,Serie A,Classic CM
216,Romain Faivre,CM,2023-2024,25,Lyon,Ligue 1,Regista
219,Jacopo Fazzini,CM,2023-2024,20,Empoli,Serie A,Classic CM
223,Álex Fernández,CM,2023-2024,30,Cádiz,La Liga,Classic CM
224,Enzo Fernández,CM,2023-2024,22,Chelsea,Premier League,Regista
227,Andrea Ferraris,CM,2023-2024,20,Monza,Serie A,Classic CM
229,John Fleck,CM,2023-2024,31,Sheffield Utd,Premier League,Classic CM
230,Youssouf Fofana,CM,2023-2024,24,Monaco,Ligue 1,Regista
231,Michael Folorunsho,CM,2023-2024,25,Hellas Verona,Serie A,Regista
235,Bartol Franjić,CM,2023-2024,23,Darmstadt 98,Bundesliga,Classic CM
236,Davide Frattesi,CM,2023-2024,23,Inter,Serie A,Classic CM
237,Jean Frederic N'Guessan,CM,2023-2024,20,Metz,Ligue 1,Classic CM
238,Morten Frendrup,CM,2023-2024,22,Genoa,Serie A,Mezzala
239,Remo Freuler,CM,2023-2024,31,Bologna,Serie A,Mezzala
241,Roberto Gagliardini,CM,2023-2024,29,Monza,Serie A,Mezzala
243,Pablo Galdames Millán,CM,2023-2024,26,Genoa,Serie A,Classic CM
244,Conor Gallagher,CM,2023-2024,23,Chelsea,Premier League,Mezzala
246,Aleix García,CM,2023-2024,26,Girona,La Liga,Mezzala
249,Johan Gastien,CM,2023-2024,35,Clermont Foot,Ligue 1,Mezzala
250,Gavi,CM,2023-2024,18,Barcelona,La Liga,Classic CM
252,Dennis Geiger,CM,2023-2024,25,Hoffenheim,Bundesliga,Classic CM
253,Francesco Gelli,CM,2023-2024,26,Frosinone,Serie A,Mezzala
254,Denis Genreau,CM,2023-2024,24,Toulouse,Ligue 1,Classic CM
258,Gvidas Gineitis,CM,2023-2024,19,Torino,Serie A,Classic CM
259,André Gomes,CM,2023-2024,30,Everton,Premier League,Classic CM
261,João Gomes,CM,2023-2024,22,Wolves,Premier League,Mezzala
262,Moi Gómez,CM,2023-2024,29,Osasuna,La Liga,Mezzala
264,Maxime Gonalons,CM,2023-2024,34,Clermont Foot,Ligue 1,Mezzala
265,Fabio González,CM,2023-2024,26,Las Palmas,La Liga,Classic CM
266,Iñaki González,CM,2023-2024,19,Las Palmas,La Liga,Classic CM
267,Joan Gonzàlez,CM,2023-2024,21,Lecce,Serie A,Classic CM
268,Urko González,CM,2023-2024,22,Real Sociedad,La Liga,Classic CM
269,Daniel Gore,CM,2023-2024,18,Manchester Utd,Premier League,Classic CM
271,Mario Götze,CM,2023-2024,31,Eint Frankfurt,Bundesliga,Mezzala
272,Pablo Gozalbez,CM,2023-2024,22,Valencia,La Liga,Classic CM
273,Alberto Grassi,CM,2023-2024,28,Empoli,Serie A,Mezzala
274,Ryan Gravenberch,CM,2023-2024,21,Liverpool,Premier League,Classic CM
277,Pascal Groß,CM,2023-2024,32,Brighton,Premier League,Mezzala
281,Mattéo Guendouzi,CM,2023-2024,24,Lazio,Serie A,Mezzala
282,Javier Guerra,CM,2023-2024,20,Valencia,La Liga,Mezzala
284,Pape Gueye,CM,2023-2024,24,Marseille,Ligue 1,Classic CM
285,Hugo Guillamón,CM,2023-2024,23,Valencia,La Liga,Classic CM
286,Bruno Guimarães,CM,2023-2024,25,Newcastle Utd,Premier League,Mezzala
287,Gerard Gumbau,CM,2023-2024,28,Granada,La Liga,Mezzala
288,İlkay Gündoğan,CM,2023-2024,32,Barcelona,La Liga,Mezzala
290,Nicolas Haas,CM,2023-2024,27,Empoli,Serie A,Classic CM
291,Janik Haberer,CM,2023-2024,29,Union Berlin,Bundesliga,Classic CM
293,Amadou Haidara,CM,2023-2024,25,RB Leipzig,Bundesliga,Mezzala
294,Gustavo Hamer,CM,2023-2024,26,Sheffield Utd,Premier League,Mezzala
295,Genki Haraguchi,CM,2023-2024,32,Stuttgart,Bundesliga,Classic CM
300,Liam Henderson,CM,2023-2024,27,Empoli,Serie A,Classic CM
303,Yangel Herrera,CM,2023-2024,25,Girona,La Liga,Mezzala
305,Nicolas Höfler,CM,2023-2024,33,Freiburg,Bundesliga,Mezzala
307,Fabian Holland,CM,2023-2024,33,Darmstadt 98,Bundesliga,Mezzala
308,Martin Hongla,CM,2023-2024,25,Granada,La Liga,Mezzala
309,Pierre Højbjerg,CM,2023-2024,27,Tottenham,Premier League,Mezzala
310,Will Hughes,CM,2023-2024,28,Crystal Palace,Premier League,Mezzala
312,Pablo Ibáñez,CM,2023-2024,24,Osasuna,La Liga,Classic CM
313,Ivan Ilić,CM,2023-2024,22,Torino,Serie A,Mezzala
316,Tim Iroegbunam,CM,2023-2024,20,Aston Villa,Premier League,Classic CM
317,Isco,CM,2023-2024,31,Betis,La Liga,Mezzala
320,Filip Jagiełło,CM,2023-2024,25,Genoa,Serie A,Classic CM
323,Vitaly Janelt,CM,2023-2024,25,Brentford,Premier League,Mezzala
326,Danley Jean-Jacques,CM,2023-2024,23,Metz,Ligue 1,Mezzala
327,Mathias Jensen,CM,2023-2024,27,Brentford,Premier League,Mezzala
328,Joelinton,CM,2023-2024,26,Newcastle Utd,Premier League,Classic CM
329,Curtis Jones,CM,2023-2024,22,Liverpool,Premier League,Mezzala
330,Frenkie de Jong,CM,2023-2024,26,Barcelona,La Liga,Mezzala
331,Joan Jordán,CM,2023-2024,29,Sevilla,La Liga,Classic CM
333,Jorginho,CM,2023-2024,31,Arsenal,Premier League,Mezzala
335,Hamed Junior Traorè,CM,2023-2024,23,Bournemouth,Premier League,Classic CM
336,Mohamed Kaba,CM,2023-2024,21,Lecce,Serie A,Classic CM
337,Yaya Kader Fofana,CM,2023-2024,19,Reims,Ligue 1,Classic CM
340,Boubacar Kamara,CM,2023-2024,23,Aston Villa,Premier League,Mezzala
341,Kevin Kampl,CM,2023-2024,32,RB Leipzig,Bundesliga,Mezzala
346,Ibrahima Kebe,CM,2023-2024,22,Girona,La Liga,Classic CM
347,Yassine Kechta,CM,2023-2024,21,Le Havre,Ligue 1,Mezzala
348,Habib Keita,CM,2023-2024,21,Clermont Foot,Ligue 1,Mezzala
349,Naby Keïta,CM,2023-2024,28,Werder Bremen,Bundesliga,Classic CM
350,Thomas Keller,CM,2023-2024,23,Heidenheim,Bundesliga,Classic CM
351,Aljoscha Kemlein,CM,2023-2024,18,Union Berlin,Bundesliga,Classic CM
