Forecast Year Ahead,Forecast Date,Predicted Market Value,Adjusted Market Value,Was Capped,Player,Best Model,PositionGroup,Last Known Team,Last Known Age,Current Market Value,Estimated Peak Value,Raw-to-Adjusted Ratio,Forecasted Market Value
1,2027-04-01,16004915.97106784,16004915.97106784,False,Aaron Hickey,"ARIMA_(1, 1, 1)",DEF,Brentford FC,23.0,16000000.0,40000000.0,1.0,16004915.97106784
2,2028-04-01,16008790.044335105,16008790.044335105,False,Aaron Hickey,"ARIMA_(1, 1, 1)",DEF,Brentford FC,23.0,16000000.0,40000000.0,1.0,16008790.044335105
3,2029-04-01,16011842.863217494,16011842.863217494,False,Aaron Hickey,"ARIMA_(1, 1, 1)",DEF,Brentford FC,23.0,16000000.0,40000000.0,1.0,16011842.863217494
4,2030-04-01,16014248.412807671,16014248.412807671,False,Aaron Hickey,"ARIMA_(1, 1, 1)",DEF,Brentford FC,23.0,16000000.0,40000000.0,1.0,16014248.412807671
5,2031-04-01,16016143.860850325,16016143.860850325,False,Aaron Hickey,"ARIMA_(1, 1, 1)",DEF,Brentford FC,23.0,16000000.0,40000000.0,1.0,16016143.860850325
1,2027-04-01,7848891.503237742,7848891.503237742,False,Aaron Ramsdale,Prophet,GK,Newcastle United,27.0,12000000.0,40000000.0,1.0,7848891.503237742
2,2028-04-01,4331629.484680786,4331629.484680786,False,Aaron Ramsdale,Prophet,GK,Newcastle United,27.0,12000000.0,40000000.0,1.0,4331629.484680786
3,2029-04-01,2944080.5048810537,2944080.5048810537,False,Aaron Ramsdale,Prophet,GK,Newcastle United,27.0,12000000.0,40000000.0,1.0,2944080.5048810537
4,2030-04-01,2001888.445983232,2001888.445983232,False,Aaron Ramsdale,Prophet,GK,Newcastle United,27.0,12000000.0,40000000.0,1.0,2001888.445983232
5,2031-04-01,1361718.609953913,1361718.609953913,False,Aaron Ramsdale,Prophet,GK,Newcastle United,27.0,12000000.0,40000000.0,1.0,1361718.609953913
1,2027-04-01,7999941.119218122,7999941.119218122,False,Aaron Ramsey,"ARIMA_(0, 1, 1)",MID,Leicester City,22.0,8000000.0,20000000.0,1.0,8000000.0
2,2028-04-01,7999941.119218122,7999941.119218122,False,Aaron Ramsey,"ARIMA_(0, 1, 1)",MID,Leicester City,22.0,8000000.0,20000000.0,1.0,7999941.119218122
3,2029-04-01,7999941.119218122,7999941.119218122,False,Aaron Ramsey,"ARIMA_(0, 1, 1)",MID,Leicester City,22.0,8000000.0,20000000.0,1.0,7999941.119218122
