Player,PositionGroup,n_months,Best Model,test_smape,test_mae
Aaron Hickey,DEF,81,"ARIMA_(1, 1, 1)",28.987202226472093,4170230.959215703
Aaron Ramsdale,GK,115,Prophet,8.526973673911629,1181365.353020366
Aaron Ramsey,MID,55,"ARIMA_(0, 1, 1)",9.562678829436223,863880.9014937681
Aaron Wan-Bissaka,DEF,96,ETS_damped_trend,5.102723301645237,1173310.9261231807
Aarón Anselmino,DEF,34,Prophet,69.06168888024497,15626148.801000835
Abbosbek Fayzullaev,MID,58,"ARIMA_(2, 1, 0)",5.5555555555555935,416666.66666666936
Abde Ezzalzouli,FWD,75,Prophet,23.76429721266369,3494499.6143048056
Abdel Abqar,DEF,91,"ARIMA_(0, 1, 1)",9.259259259259268,625000.0000000008
Abdoulaye Ndiaye,DEF,84,"ARIMA_(0, 1, 1)",56.19047619047613,2666666.666666663
Abdukodir Khusanov,DEF,47,LinearRegression_log_trend,43.602322363566316,17747487.132468287
Abner,DEF,81,"ARIMA_(0, 1, 1)",22.916666666666682,1833333.333333334
Achraf Hakimi,DEF,116,ETS_damped_trend,11.23919887437561,8425800.50853139
Adam Armstrong,FWD,138,"ARIMA_(1, 1, 0)",30.081753994797534,3583333.333333342
Adam Aznou,DEF,25,LinearRegression_log_trend,56.446365234714214,5433642.571368414
Adam Hlozek,FWD,89,"ARIMA_(1, 1, 0)",7.575757575757515,1249999.99999999
Adam Webster,DEF,171,"ARIMA_(0, 1, 1)",30.31491772910541,3000000.000000004
Adam Wharton,MID,43,ETS_damped_trend,32.19476088624678,15304933.31790924
Adama Traoré,FWD,155,"ARIMA_(1, 1, 0)",15.399610136452221,1416666.6666666642
Ademola Lookman,FWD,121,"ARIMA_(0, 1, 1)",23.333333333333343,11666666.666666662
Adrian Semper,GK,116,Prophet,19.656481231045465,786971.559254306
Adrien Rabiot,MID,166,"ARIMA_(2, 1, 1)",10.2253203212107,2250661.993482389
Adrien Truffert,DEF,69,ETS_damped_trend,12.374161917587,2151543.2704472025
Adrián Bernabé,MID,80,"ARIMA_(0, 1, 1)",0.0,0.0
Agustín Giay,DEF,46,ETS_damped_trend,31.242253612530906,2789962.99524158
Agustín Rossi,GK,130,LinearRegression_log_trend,10.174370020789214,833795.4391038661
Aimar Oroz,MID,80,"ARIMA_(0, 1, 2)",20.833340297103323,2500001.0723938006
Ainsley Maitland-Niles,DEF,131,"ARIMA_(1, 1, 0)",9.09090909090914,1000000.0000000056
Aitor Paredes,DEF,66,"ARIMA_(0, 1, 1)",8.335107130507495,1667058.5384636044
Akram Afif,FWD,135,ETS_damped_trend,5.183286145967269,428558.9429702432
Alan Varela,MID,63,"ARIMA_(0, 1, 1)",8.955223880597195,3000000.0000000596
Alban Lafont,GK,126,"ARIMA_(2, 1, 1)",21.00605587316801,558099.0734660904
Albert Grønbæk,MID,70,"ARIMA_(0, 1, 1)",17.189079878667346,1875000.0000002484
Albert Gudmundsson,FWD,130,"ARIMA_(2, 1, 1)",24.32541754885469,5048914.48824368
Alberto Dossena,DEF,126,ETS_damped_trend,9.228747980096973,787589.4028758117
Alberto Moleiro,FWD,67,"ARIMA_(1, 1, 0)",7.575757575757704,2083333.333333369
Albian Hajdari,DEF,65,ETS_damped_trend,28.118549388701027,4162421.4323004596
Albion Rrahmani,FWD,53,Prophet,12.277472009937775,843027.6794977359
Aleix García,MID,107,"ARIMA_(2, 1, 1)",1.5219707886480185,301743.4381882893
Alejandro Balde,DEF,67,"ARIMA_(1, 1, 0)",0.0,0.0
Alejandro Garnacho,FWD,46,"ARIMA_(1, 1, 0)",0.0,0.0
Alejandro Grimaldo,DEF,170,"ARIMA_(1, 1, 0)",35.1190476190475,11666666.666666627
Aleksandar Mitrović,FWD,163,"ARIMA_(2, 1, 1)",31.02301617615853,6609745.201252888
Aleksandar Pavlovic,MID,33,Prophet,143.5054523909926,578349762308753.1
Aleksandr Chernikov,MID,118,Prophet,10.115937916363107,900285.5651427767
Aleksandr Golovin,MID,153,"ARIMA_(2, 1, 1)",20.41253297803326,4361672.007710623
Aleksandr Maksimenko,GK,129,"ARIMA_(1, 1, 1)",10.139390345335586,506709.4430616459
