Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Sh,G/Sh,G/SoT,SoT,SoT%,Pos
Erling Haaland,2022-2023,22,no NOR,Manchester City,eng Premier League,35,2769,30.8,33,2,1,36,8,44,29,7,7,0,123,0.24,0.48,60,48.8,"FW,MF"
Harry Kane,2023-2024,30,eng ENG,Bayern Munich,de Bundesliga,32,2839,31.5,32,0,0,36,8,44,31,5,5,0,146,0.21,0.46,67,45.9,FW
Harry Kane,2025-2026,32,eng ENG,Bayern Munich,de Bundesliga,31,2377,26.4,25,6,1,36,5,41,26,10,11,1,119,0.22,0.39,67,56.3,"FW,MF"
Kylian Mbappé,2024-2025,25,fr FRA,Real Madrid,es La Liga,34,2907,32.3,34,0,0,31,3,34,24,7,9,2,161,0.15,0.28,85,52.8,FW
Harry Kane,2022-2023,29,eng ENG,Tottenham,eng Premier League,38,3405,37.8,38,0,0,30,3,33,25,5,6,1,132,0.19,0.39,64,48.5,FW
Kylian Mbappé,2022-2023,23,fr FRA,PSG,fr Ligue 1,34,2818,31.3,32,2,0,29,5,34,26,3,4,1,150,0.17,0.33,79,52.7,FW
Serhou Guirassy,2023-2024,27,gn GUI,Stuttgart,de Bundesliga,28,2208,24.5,25,3,0,28,3,31,24,4,4,0,91,0.26,0.53,45,49.5,FW
Erling Haaland,2023-2024,23,no NOR,Manchester City,eng Premier League,31,2552,28.4,29,2,1,27,5,32,20,7,8,1,121,0.17,0.34,59,48.8,"FW,MF"
Erling Haaland,2025-2026,25,no NOR,Manchester City,eng Premier League,35,2953,32.8,34,1,1,27,8,35,24,3,4,1,126,0.19,0.41,59,46.8,FW
Kylian Mbappé,2023-2024,24,fr FRA,PSG,fr Ligue 1,29,2158,24,24,5,2,27,7,34,21,6,8,2,120,0.18,0.36,59,49.2,FW
Robert Lewandowski,2024-2025,35,pl POL,Barcelona,es La Liga,34,2667,29.6,32,2,2,27,2,29,24,3,4,1,115,0.21,0.5,48,41.7,FW
Alexandre Lacazette,2022-2023,31,fr FRA,Lyon,fr Ligue 1,35,2929,32.5,34,1,0,27,5,32,21,6,8,2,115,0.18,0.38,55,47.8,FW
Harry Kane,2024-2025,31,eng ENG,Bayern Munich,de Bundesliga,31,2381,26.5,28,3,0,26,9,35,17,9,9,0,114,0.15,0.31,54,47.4,FW
Victor Osimhen,2022-2023,23,ng NGA,Napoli,it Serie A,32,2566,28.5,30,2,0,26,4,30,24,2,3,1,135,0.18,0.44,55,40.7,FW
Kylian Mbappé,2025-2026,26,fr FRA,Real Madrid,es La Liga,31,2599,28.9,29,2,1,25,5,30,17,8,9,1,146,0.12,0.27,63,43.2,FW
Mateo Retegui,2024-2025,25,it ITA,Atalanta,it Serie A,36,2383,26.5,32,4,0,25,8,33,21,4,5,1,104,0.2,0.55,38,36.5,FW
Artem Dovbyk,2023-2024,26,ua UKR,Girona,es La Liga,36,2587,28.7,32,4,0,24,8,32,17,7,8,1,85,0.2,0.37,46,54.1,FW
Loïs Openda,2023-2024,23,be BEL,RB Leipzig,de Bundesliga,34,2697,30,33,1,0,24,7,31,22,2,3,1,121,0.18,0.35,62,51.2,FW
Jonathan David,2022-2023,22,ca CAN,Lille,fr Ligue 1,37,3166,35.2,36,1,0,24,4,28,14,10,11,1,106,0.13,0.25,56,52.8,"FW,MF"
Lautaro Martínez,2023-2024,25,ar ARG,Inter,it Serie A,33,2656,29.5,31,2,2,24,3,27,22,2,3,1,109,0.2,0.47,47,43.1,FW
Vedat Muriqi,2025-2026,31,xk KVX,Mallorca,es La Liga,37,3128,34.8,36,1,0,23,1,24,18,5,7,2,114,0.16,0.36,50,43.9,FW
Robert Lewandowski,2022-2023,33,pl POL,Barcelona,es La Liga,34,2847,31.6,33,1,0,23,7,30,23,0,1,1,135,0.17,0.4,58,43,FW
Alexander Isak,2024-2025,24,se SWE,Newcastle,eng Premier League,34,2756,30.6,34,0,0,23,6,29,19,4,4,0,99,0.19,0.41,46,46.5,FW
Alexander Sørloth,2023-2024,27,no NOR,Villarreal,es La Liga,34,2489,27.7,30,4,1,23,6,29,23,0,0,0,78,0.29,0.64,36,46.2,FW
Omar Marmoush,2024-2025,25,eg EGY,2 Teams,2 Comps,33,2623,29.1,31,2,0,22,9,31,20,2,2,0,126,0.16,0.38,53,42.1,"FW,MF"
Erling Haaland,2024-2025,24,no NOR,Manchester City,eng Premier League,31,2736,30.4,31,0,1,22,3,25,19,3,4,1,109,0.17,0.32,60,55,FW
Igor Thiago,2025-2026,24,br BRA,Brentford,eng Premier League,38,3282,36.5,37,1,0,22,1,23,14,8,9,1,84,0.17,0.33,43,51.2,FW
Cole Palmer,2023-2024,21,eng ENG,2 Teams,eng Premier League,34,2618,29.1,29,5,2,22,11,33,13,9,9,0,108,0.12,0.28,46,42.6,"MF,FW"
Folarin Balogun,2022-2023,21,us USA,Reims,fr Ligue 1,37,2999,33.3,34,3,0,21,2,23,15,6,7,1,128,0.12,0.26,58,45.3,FW
Mason Greenwood,2024-2025,22,eng ENG,Marseille,fr Ligue 1,34,2804,31.2,32,2,0,21,5,26,14,7,9,2,120,0.12,0.25,57,47.5,"MF,FW"
