Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,Cmp,Att,Cmp%,KP,PPA,CrsPA,PrgP,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Touches,Def 3rd Touch,Mid 3rd Touch,Att 3rd Touch,Live,Carries,TotDist,PrgDist,PrgC,1/3C,CPA,Mis,Dis,Sh,G/Sh,G/SoT,SoT,SoT%,Sh Dist,FK,xG,npxG,xA,G-xG,Live,Dead,FK,Sw,Crs,TI,CK,Head Won,Head Lost,Head Won%
Keyliane Abdallah,RW,2023-2024,17,fr FRA,Marseille,fr Ligue 1,1,4,0,0,1,1,1,100,0,0,0,0,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,1,0,1,0,1,1,3,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Matthis Abline,ST,2023-2024,20,fr FRA,2 Teams,fr Ligue 1,22,1044,11.6,12,10,162,231,70.1,17,7,2,20,91,128,71.1,52,68,76.5,9,11,81.8,5,0,5,5,0,0,0,386,36,153,209,386,294,1979,906,28,24,14,50,14,42,0.12,0.26,19,45.2,17.4,0,3.8,3.8,0.9,+1.2,218,12,0,1,7,1,0,15,27,35.7
Zakaria Aboukhlal,RW,2023-2024,23,ma MAR,Toulouse,fr Ligue 1,13,754,8.4,9,4,140,196,71.4,5,9,1,20,70,95,73.7,53,66,80.3,6,8,75,3,0,3,2,1,1,0,305,27,123,161,304,233,1651,745,23,13,8,22,12,27,0.07,0.29,7,25.9,18.7,0,2.8,2,1.1,+0.2,185,11,1,0,5,9,0,6,7,46.2
Tammy Abraham,ST,2023-2024,25,eng ENG,Roma,it Serie A,8,242,2.7,2,6,19,40,47.5,3,1,0,4,14,25,56,4,9,44.4,0,1,0,1,0,1,1,0,0,0,69,4,31,34,69,37,208,111,6,2,2,9,2,4,0.25,0.5,2,50,11.9,0,0.6,0.6,0,+0.4,37,2,0,0,2,0,0,6,5,54.5
Bénie Adama Traore,LW,2023-2024,20,ci CIV,2 Teams,2 Comps,22,891,9.9,7,15,154,219,70.3,12,11,3,24,92,111,82.9,49,65,75.4,7,18,38.9,0,1,1,0,0,0,0,324,38,140,158,324,224,1657,759,30,20,10,29,16,8,0,0,5,62.5,18.3,1,1,1,1.8,-1,194,23,3,0,23,2,6,3,29,9.4
Akor Adams,ST,2023-2024,23,ng NGA,Montpellier,fr Ligue 1,32,2252,25,27,5,250,385,64.9,17,4,2,17,125,185,67.6,89,126,70.6,14,29,48.3,8,1,9,8,0,0,0,638,61,266,323,638,442,2673,1004,40,23,22,68,30,79,0.1,0.25,32,40.5,14.5,0,12.4,12.4,1.4,-4.4,375,10,0,1,12,1,0,54,69,43.9
Junior Adamu,ST,2023-2024,22,at AUT,Freiburg,de Bundesliga,15,105,1.2,0,15,18,30,60,1,1,0,1,15,17,88.2,1,9,11.1,0,1,0,0,0,0,0,0,0,0,54,7,32,18,54,29,141,48,1,1,0,5,5,2,0,0,1,50,12.1,0,0.1,0.1,0,-0.1,29,1,0,0,1,0,0,5,6,45.5
Sargis Adamyan,ST,2023-2024,30,am ARM,Köln,de Bundesliga,20,801,8.9,8,12,132,189,69.8,12,3,0,18,73,94,77.7,44,64,68.8,5,9,55.6,1,2,3,1,0,0,0,312,30,151,136,312,162,814,344,15,9,5,27,17,31,0.03,0.08,13,41.9,12.4,0,4.1,4.1,1.1,-3.1,166,22,1,2,4,2,0,14,37,27.5
Elijah Adebayo,ST,2023-2024,25,eng ENG,Luton Town,eng Premier League,27,1419,15.8,16,11,144,204,70.6,14,4,0,23,94,122,77,41,60,68.3,3,6,50,10,0,10,10,0,0,0,462,52,172,243,462,265,1516,425,16,15,13,62,34,31,0.32,0.71,14,45.2,9.6,0,5.9,5.9,0.4,+4.1,202,1,0,0,5,1,0,43,43,50
Karim Adeyemi,LW,2023-2024,21,de GER,Dortmund,de Bundesliga,21,913,10.1,10,11,218,299,72.9,9,10,1,26,135,162,83.3,61,83,73.5,8,18,44.4,3,1,4,3,0,0,0,458,69,170,227,458,310,2413,1171,52,22,27,29,25,23,0.13,0.3,10,43.5,14.6,0,3.5,3.5,1.6,-0.5,280,19,3,1,25,11,4,14,9,60.9
