,Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,Cmp,Att,Cmp%,KP,PPA,CrsPA,PrgP,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Touches,Def 3rd Touch,Mid 3rd Touch,Att 3rd Touch,Live,Carries,TotDist,PrgDist,PrgC,1/3C,CPA,Mis,Dis,Sh,G/Sh,G/SoT,SoT,SoT%,Sh Dist,FK,xG,npxG,xA,G-xG,Live.1,Dead,FK.1,Sw,Crs,TI,CK,Head Won,Head Lost,Head Won%
0,Keyliane Abdallah,RW,2023-2024,17.0,France,Marseille,Ligue 1,1,4,0.0,0,1,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,0,,,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0.0
1,Matthis Abline,ST,2023-2024,20.0,France,2 Teams,Ligue 1,22,1044,11.6,12,10,162.0,231.0,70.1,17.0,7.0,2.0,20.0,91.0,128.0,71.1,52.0,68.0,76.5,9.0,11,81.8,5.0,0.0,5.0,5.0,0.0,0.0,0.0,386.0,36.0,153.0,209.0,386.0,294.0,1979.0,906.0,28.0,24.0,14.0,50,14.0,42.0,0.12,0.26,19,45.2,17.4,0,3.8,3.8,0.9,1.2,218,12,0,1,7,1,0,15,27,35.7
2,Zakaria Aboukhlal,RW,2023-2024,23.0,Morocco,Toulouse,Ligue 1,13,754,8.4,9,4,140.0,196.0,71.4,5.0,9.0,1.0,20.0,70.0,95.0,73.7,53.0,66.0,80.3,6.0,8,75.0,3.0,0.0,3.0,2.0,1.0,1.0,0.0,305.0,27.0,123.0,161.0,304.0,233.0,1651.0,745.0,23.0,13.0,8.0,22,12.0,27.0,0.07,0.29,7,25.9,18.7,0,2.8,2.0,1.1,0.2,185,11,1,0,5,9,0,6,7,46.2
3,Tammy Abraham,ST,2023-2024,25.0,England,Roma,Serie A,8,242,2.7,2,6,19.0,40.0,47.5,3.0,1.0,0.0,4.0,14.0,25.0,56.0,4.0,9.0,44.4,0.0,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,69.0,4.0,31.0,34.0,69.0,37.0,208.0,111.0,6.0,2.0,2.0,9,2.0,4.0,0.25,0.5,2,50.0,11.9,0,0.6,0.6,0.0,0.4,37,2,0,0,2,0,0,6,5,54.5
4,Bénie Adama Traore,LW,2023-2024,20.0,Ivory Coast,2 Teams,2 Comps,22,891,9.9,7,15,154.0,219.0,70.3,12.0,11.0,3.0,24.0,92.0,111.0,82.9,49.0,65.0,75.4,7.0,18,38.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,324.0,38.0,140.0,158.0,324.0,224.0,1657.0,759.0,30.0,20.0,10.0,29,16.0,8.0,0.0,0.0,5,62.5,18.3,1,1.0,1.0,1.8,-1.0,194,23,3,0,23,2,6,3,29,9.4
5,Akor Adams,ST,2023-2024,23.0,Nigeria,Montpellier,Ligue 1,32,2252,25.0,27,5,250.0,385.0,64.9,17.0,4.0,2.0,17.0,125.0,185.0,67.6,89.0,126.0,70.6,14.0,29,48.3,8.0,1.0,9.0,8.0,0.0,0.0,0.0,638.0,61.0,266.0,323.0,638.0,442.0,2673.0,1004.0,40.0,23.0,22.0,68,30.0,79.0,0.1,0.25,32,40.5,14.5,0,12.4,12.4,1.4,-4.4,375,10,0,1,12,1,0,54,69,43.9
6,Junior Adamu,ST,2023-2024,22.0,Austria,Freiburg,Bundesliga,15,105,1.2,0,15,18.0,30.0,60.0,1.0,1.0,0.0,1.0,15.0,17.0,88.2,1.0,9.0,11.1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,7.0,32.0,18.0,54.0,29.0,141.0,48.0,1.0,1.0,0.0,5,5.0,2.0,0.0,0.0,1,50.0,12.1,0,0.1,0.1,0.0,-0.1,29,1,0,0,1,0,0,5,6,45.5
7,Sargis Adamyan,ST,2023-2024,30.0,Armenia,Köln,Bundesliga,20,801,8.9,8,12,132.0,189.0,69.8,12.0,3.0,0.0,18.0,73.0,94.0,77.7,44.0,64.0,68.8,5.0,9,55.6,1.0,2.0,3.0,1.0,0.0,0.0,0.0,312.0,30.0,151.0,136.0,312.0,162.0,814.0,344.0,15.0,9.0,5.0,27,17.0,31.0,0.03,0.08,13,41.9,12.4,0,4.1,4.1,1.1,-3.1,166,22,1,2,4,2,0,14,37,27.5
8,Elijah Adebayo,ST,2023-2024,25.0,England,Luton Town,Premier League,27,1419,15.8,16,11,144.0,204.0,70.6,14.0,4.0,0.0,23.0,94.0,122.0,77.0,41.0,60.0,68.3,3.0,6,50.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,462.0,52.0,172.0,243.0,462.0,265.0,1516.0,425.0,16.0,15.0,13.0,62,34.0,31.0,0.32,0.71,14,45.2,9.6,0,5.9,5.9,0.4,4.1,202,1,0,0,5,1,0,43,43,50.0
9,Karim Adeyemi,LW,2023-2024,21.0,Germany,Dortmund,Bundesliga,21,913,10.1,10,11,218.0,299.0,72.9,9.0,10.0,1.0,26.0,135.0,162.0,83.3,61.0,83.0,73.5,8.0,18,44.4,3.0,1.0,4.0,3.0,0.0,0.0,0.0,458.0,69.0,170.0,227.0,458.0,310.0,2413.0,1171.0,52.0,22.0,27.0,29,25.0,23.0,0.13,0.3,10,43.5,14.6,0,3.5,3.5,1.6,-0.5,280,19,3,1,25,11,4,14,9,60.9
