Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,Pass Cmp,Pass Att,Pass Cmp%,KP,Pass Final 3rd,PPA,CrsPA,PrgP,TotDist,PrgDist,Short Cmp,Short Att,Short Cmp%,Med Cmp,Med Att,Med Cmp%,Lng Cmp,Lng Att,Lng Cmp%,Carries,TotDist,PrgDist,PrgC,Carries Final 3rd,CPA,Mis,Dis,Rec,PrgR,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Challenges,Ch Att,Chl%,Ch Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
201,Ridle Baku,2024-2025,26,de GER,RB Leipzig,de Bundesliga,19,1275,14.2,15,4,0,2,3,5,480,638,75.2,14,34,17,4,41,7553,2361,262,299,87.6,177,236,75,31,56,55.4,383,1742,863,21,17,3,26,14,503,97,796,32,151,356,295,32,796,24,19,9,13,2,9,23,39.1,14,18,2,16,9,33,45,0,10,17,37,"DF,MF"
202,Dilane Bakwa,2024-2025,21,fr FRA,Strasbourg,fr Ligue 1,30,2497,27.7,29,1,0,6,8,14,808,1109,72.9,47,67,40,10,129,13642,4130,401,475,84.4,298,394,75.6,87,178,48.9,890,5928,2934,107,70,42,60,34,1046,249,1420,21,170,588,685,79,1420,26,14,11,8,7,12,24,50,12,21,1,20,15,41,27,0,11,8,57.9,"MF,DF"
203,Alejandro Balde,2022-2023,18,es ESP,Barcelona,es La Liga,33,2471,27.5,30,3,4,1,6,7,1482,1670,88.7,22,74,22,16,79,21525,4340,892,951,93.8,486,536,90.7,71,106,67,1270,7245,4093,95,69,34,41,24,1347,234,1939,40,419,874,672,78,1939,42,30,22,16,4,24,41,58.5,17,25,3,22,12,54,17,1,19,18,51.4,DF
204,Alejandro Balde,2023-2024,19,es ESP,Barcelona,es La Liga,18,1378,15.3,15,3,2,0,1,1,694,817,84.9,13,26,20,7,41,9879,2231,430,473,90.9,229,264,86.7,22,42,52.4,567,3770,2213,73,36,20,32,16,664,141,979,35,215,394,384,40,979,20,11,11,6,3,7,11,63.6,4,14,1,13,5,25,21,1,12,13,48,DF
205,Alejandro Balde,2024-2025,20,es ESP,Barcelona,es La Liga,32,2284,25.4,26,6,3,0,4,4,1306,1484,88,26,51,39,11,93,19158,3986,734,785,93.5,495,547,90.5,43,71,60.6,1075,6639,3463,107,68,16,44,27,1245,246,1721,38,310,843,596,47,1721,18,10,10,5,3,11,17,64.7,6,24,5,19,5,23,27,0,16,9,64,DF
206,Thierno Balde,2022-2023,20,fr FRA,Troyes,fr Ligue 1,31,2153,23.9,25,6,1,0,1,1,763,931,82,19,34,19,4,60,11688,3640,408,467,87.4,302,371,81.4,34,51,66.7,765,5808,2996,66,51,11,38,15,650,118,1138,85,395,425,339,34,1138,27,14,19,4,4,18,30,60,12,15,3,12,23,50,39,0,7,20,25.9,"DF,MF"
207,George Baldock,2023-2024,30,gr GRE,Sheffield Utd,eng Premier League,13,969,10.8,11,2,1,0,1,1,291,397,73.3,7,18,11,4,31,4602,1810,169,191,88.5,100,124,80.6,18,52,34.6,238,988,463,9,3,4,9,9,258,24,505,66,200,192,116,9,505,18,10,10,7,1,6,15,40,9,14,8,6,10,28,33,0,13,13,50,DF
208,Leonardo Balerdi,2022-2023,23,ar ARG,Marseille,fr Ligue 1,35,2639,29.3,30,5,1,0,1,1,1389,1656,83.9,5,105,3,1,97,27891,8035,393,449,87.5,771,872,88.4,189,262,72.1,1413,8306,4291,15,19,0,23,3,1232,19,1997,223,869,1027,113,16,1997,57,37,43,12,2,32,45,71.1,13,48,29,19,63,120,91,1,70,41,63.1,DF
209,Leonardo Balerdi,2023-2024,24,ar ARG,Marseille,fr Ligue 1,27,2271,25.2,26,1,3,2,0,2,1402,1628,86.1,5,115,3,0,122,26569,9543,520,562,92.5,678,753,90,169,260,65,1412,7846,4056,19,23,0,17,10,1271,6,1936,188,845,1036,73,18,1936,79,50,55,23,1,49,67,73.1,18,38,15,23,51,130,91,0,57,36,61.3,DF
210,Leonardo Balerdi,2024-2025,25,ar ARG,Marseille,fr Ligue 1,27,2273,25.3,27,0,1,0,0,0,2360,2516,93.8,8,150,6,0,105,39477,14824,1024,1054,97.2,1155,1198,96.4,125,186,67.2,1752,7762,4916,13,15,2,20,13,2183,5,2767,209,1085,1623,78,21,2767,54,39,32,17,5,27,47,57.4,20,25,14,11,38,92,72,4,39,21,65,DF
