Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Won,Lost,Won%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pass Cmp,Pass Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Challenges,Challenge Att,Challenge%,Challenge Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Max Aarons,RB,2023-2024,23,eng ENG,Bournemouth,eng Premier League,20,1237,13.7,13,7,5,364,2174,1121,22,12,7,13,8,371,26,5,11,31.3,0,1,1,0,0,0,0,450,581,77.5,7,25,13,2,43,7402,2789,220,248,88.7,188,235,80,34,63,54,29,19,20,7,2,20,34,58.8,14,9,5,4,8,37,27,0
Yunis Abdelhamid,CB,2023-2024,35,ma MAR,Reims,fr Ligue 1,31,2781,30.9,31,0,0,1506,8663,4921,36,19,0,23,4,1403,9,61,37,62.2,4,0,4,3,1,1,0,1552,1836,84.5,8,129,3,0,137,29618,9672,487,548,88.9,893,976,91.5,141,252,56,64,35,36,23,5,26,45,57.8,19,51,32,19,39,103,109,2
Nabil Aberdin,CB,2023-2024,20,fr FRA,Getafe,es La Liga,2,180,2,2,0,3,47,326,183,0,0,0,1,1,54,0,4,6,40,0,0,0,0,0,0,0,60,79,75.9,0,4,0,0,7,1159,426,22,26,84.6,29,34,85.3,7,17,41.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0
Abner,LB,2023-2024,23,br BRA,Betis,es La Liga,23,1400,15.6,15,8,10,447,1802,949,14,10,5,18,11,502,58,14,10,58.3,0,1,1,0,0,0,0,615,797,77.2,8,20,7,2,33,9211,4552,351,394,89.1,203,265,76.6,37,79,46.8,25,19,15,9,1,17,34,50,17,23,5,18,15,40,62,0
Abdel Abqar,CB,2023-2024,24,ma MAR,Alavés,es La Liga,27,2312,25.7,27,0,4,492,2460,1418,7,6,0,15,1,499,1,39,36,52,0,0,0,0,0,0,0,553,762,72.6,3,61,2,0,49,12370,4872,141,164,86,302,339,89.1,99,225,44,35,19,28,5,2,21,35,60,14,31,26,5,23,58,115,0
Francesco Acerbi,CB,2023-2024,35,it ITA,Inter,it Serie A,29,2388,26.5,26,3,2,1211,5779,3081,21,11,0,4,1,1446,24,70,37,65.4,3,1,4,3,0,0,0,1615,1781,90.7,7,58,5,2,87,29326,9174,601,650,92.5,856,908,94.3,132,179,73.7,22,13,16,6,0,11,14,78.6,3,20,13,7,32,54,77,1
Joshua Acheampong,RB,2023-2024,17,eng ENG,Chelsea,eng Premier League,1,6,0.1,0,1,3,1,18,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,50,0,0,0,0,0,18,7,0,0,,1,1,100,0,1,0,0,0,0,0,0,0,0,,0,3,3,0,0,0,0,0
Marcos Acuña,LWB,2023-2024,31,ar ARG,Sevilla,es La Liga,21,1292,14.4,18,3,2,473,2266,1224,23,20,4,20,16,546,42,13,11,54.2,1,2,3,1,0,0,0,628,847,74.1,23,52,19,12,59,12126,4928,260,297,87.5,262,328,79.9,94,183,51.4,33,21,20,12,1,9,14,64.3,5,12,2,10,4,37,25,0
Tosin Adarabioyo,CB,2023-2024,25,eng ENG,Fulham,eng Premier League,20,1617,18,18,2,2,817,4560,2661,10,12,1,4,4,1009,5,56,28,66.7,2,0,2,2,0,0,0,1028,1216,84.5,2,47,2,0,62,21010,7956,277,307,90.2,627,699,89.7,115,177,65,21,11,16,5,0,12,21,57.1,9,16,11,5,25,46,80,0
Nathaniel Adjei,CB,2023-2024,20,gh GHA,Lorient,fr Ligue 1,15,1243,13.8,14,1,0,554,3506,1609,10,12,0,12,5,511,4,30,22,57.7,0,0,0,0,0,0,0,578,669,86.4,3,38,1,0,34,10635,4097,216,246,87.8,294,323,91,52,73,71.2,13,9,8,3,2,6,7,85.7,1,15,8,7,18,31,64,1
Adryelson,CB,2023-2024,25,br BRA,Lyon,fr Ligue 1,2,6,0.1,0,2,12,5,22,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,100,0,0,0,0,0,75,28,3,3,100,2,2,100,0,0,,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0
Emmanuel Agbadou,CB,2023-2024,26,ci CIV,Reims,fr Ligue 1,32,2596,28.8,29,3,1,1582,10223,5460,42,26,2,24,23,1405,19,45,32,58.4,1,1,2,1,0,0,0,1599,1838,87,12,172,5,1,179,32774,10984,476,525,90.7,855,926,92.3,240,343,70,65,41,38,23,4,44,64,68.8,20,47,25,22,55,120,116,1
Felix Agu,LWB,2023-2024,23,de GER,Werder Bremen,de Bundesliga,24,1614,17.9,19,5,5,460,2297,1223,32,16,7,32,10,495,90,15,24,38.5,0,0,0,0,0,0,0,488,669,72.9,7,18,16,7,32,7657,2921,246,292,84.2,203,253,80.2,27,67,40.3,45,29,28,13,4,29,41,70.7,12,27,7,20,13,58,41,0
