,Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Won,Lost,Won%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pass Cmp,Pass Att,Cmp%,KP,1/3.1,PPA,CrsPA,PrgP,TotDist.1,PrgDist.1,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Challenges,Challenge Att,Challenge%,Challenge Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Max Aarons,RB,2023-2024,23,England,Bournemouth,Premier League,20,1237,13.7,13,7,5,364,2174,1121,22,12,7,13,8.0,371,26.0,5,11,31.3,0,1,1,0,0.0,0,0.0,450,581,77.5,7,25,13.0,2,43,7402.0,2789.0,220,248,88.7,188,235,80.0,34,63,54.0,29,19,20,7,2.0,20,34,58.8,14,9.0,5,4,8.0,37,27,0.0
1,Yunis Abdelhamid,CB,2023-2024,35,Morocco,Reims,Ligue 1,31,2781,30.9,31,0,0,1506,8663,4921,36,19,0,23,4.0,1403,9.0,61,37,62.2,4,0,4,3,1.0,1,0.0,1552,1836,84.5,8,129,3.0,0,137,29618.0,9672.0,487,548,88.9,893,976,91.5,141,252,56.0,64,35,36,23,5.0,26,45,57.8,19,51.0,32,19,39.0,103,109,2.0
2,Nabil Aberdin,CB,2023-2024,20,France,Getafe,La Liga,2,180,2.0,2,0,3,47,326,183,0,0,0,1,1.0,54,0.0,4,6,40.0,0,0,0,0,0.0,0,0.0,60,79,75.9,0,4,0.0,0,7,1159.0,426.0,22,26,84.6,29,34,85.3,7,17,41.2,0,0,0,0,0.0,0,1,0.0,1,0.0,0,0,0.0,0,4,0.0
3,Abner,LB,2023-2024,23,Brazil,Betis,La Liga,23,1400,15.6,15,8,10,447,1802,949,14,10,5,18,11.0,502,58.0,14,10,58.3,0,1,1,0,0.0,0,0.0,615,797,77.2,8,20,7.0,2,33,9211.0,4552.0,351,394,89.1,203,265,76.6,37,79,46.8,25,19,15,9,1.0,17,34,50.0,17,23.0,5,18,15.0,40,62,0.0
4,Abdel Abqar,CB,2023-2024,24,Morocco,Alavés,La Liga,27,2312,25.7,27,0,4,492,2460,1418,7,6,0,15,1.0,499,1.0,39,36,52.0,0,0,0,0,0.0,0,0.0,553,762,72.6,3,61,2.0,0,49,12370.0,4872.0,141,164,86.0,302,339,89.1,99,225,44.0,35,19,28,5,2.0,21,35,60.0,14,31.0,26,5,23.0,58,115,0.0
5,Francesco Acerbi,CB,2023-2024,35,Italy,Inter,Serie A,29,2388,26.5,26,3,2,1211,5779,3081,21,11,0,4,1.0,1446,24.0,70,37,65.4,3,1,4,3,0.0,0,0.0,1615,1781,90.7,7,58,5.0,2,87,29326.0,9174.0,601,650,92.5,856,908,94.3,132,179,73.7,22,13,16,6,0.0,11,14,78.6,3,20.0,13,7,32.0,54,77,1.0
6,Joshua Acheampong,RB,2023-2024,17,England,Chelsea,Premier League,1,6,0.1,0,1,3,1,18,12,0,0,0,0,0.0,0,0.0,0,1,0.0,0,0,0,0,0.0,0,0.0,1,2,50.0,0,0,0.0,0,0,18.0,7.0,0,0,,1,1,100.0,0,1,0.0,0,0,0,0,0.0,0,0,,0,3.0,3,0,0.0,0,0,0.0
7,Marcos Acuña,LWB,2023-2024,31,Argentina,Sevilla,La Liga,21,1292,14.4,18,3,2,473,2266,1224,23,20,4,20,16.0,546,42.0,13,11,54.2,1,2,3,1,0.0,0,0.0,628,847,74.1,23,52,19.0,12,59,12126.0,4928.0,260,297,87.5,262,328,79.9,94,183,51.4,33,21,20,12,1.0,9,14,64.3,5,12.0,2,10,4.0,37,25,0.0
8,Tosin Adarabioyo,CB,2023-2024,25,England,Fulham,Premier League,20,1617,18.0,18,2,2,817,4560,2661,10,12,1,4,4.0,1009,5.0,56,28,66.7,2,0,2,2,0.0,0,0.0,1028,1216,84.5,2,47,2.0,0,62,21010.0,7956.0,277,307,90.2,627,699,89.7,115,177,65.0,21,11,16,5,0.0,12,21,57.1,9,16.0,11,5,25.0,46,80,0.0
9,Nathaniel Adjei,CB,2023-2024,20,Ghana,Lorient,Ligue 1,15,1243,13.8,14,1,0,554,3506,1609,10,12,0,12,5.0,511,4.0,30,22,57.7,0,0,0,0,0.0,0,0.0,578,669,86.4,3,38,1.0,0,34,10635.0,4097.0,216,246,87.8,294,323,91.0,52,73,71.2,13,9,8,3,2.0,6,7,85.7,1,15.0,8,7,18.0,31,64,1.0
