,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,,,,,,,,,,,Penalty Kicks,,,,
Rk,Player,Gls,GA,PKvs,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,GA,SoTA,Saves,Save%,W,D,L,CS,CS%,PKvs,PKA,PKsv,PKm,Save%,Pos
1,Samuele Perisan,0,9,0,2022-2023,24,it ITA,Empoli,it Serie A,7,630,7,7,0,29,0,0,0,0,0,0,0,9,24,15,62.5,1,1,5,2,28.6,0,0,0,0,,GK
2,Samuele Perisan,0,2,0,2023-2024,25,it ITA,Empoli,it Serie A,1,90,1,1,0,37,0,0,0,0,0,0,0,2,5,3,60,0,0,1,0,0,0,0,0,0,,GK
3,Filip Jørgensen,0,3,0,2022-2023,20,dk DEN,Villarreal,es La Liga,2,180,2,2,0,24,0,0,0,0,0,0,0,3,6,3,50,0,1,1,0,0,0,0,0,0,,GK
4,Filip Jørgensen,0,63,5,2023-2024,21,dk DEN,Villarreal,es La Liga,36,3240,36,36,0,2,0,0,0,0,0,0,0,63,201,143,71.1,13,10,13,3,8.3,5,5,0,0,0,GK
5,Filip Jørgensen,0,9,1,2024-2025,22,dk DEN,Chelsea,eng Premier League,6,540,6,6,0,31,0,0,0,0,0,0,0,9,28,20,71.4,3,0,3,1,16.7,1,1,0,0,0,GK
6,Filip Jørgensen,0,4,0,2025-2026,23,dk DEN,Chelsea,eng Premier League,3,264,2.9,2,1,21,0,0,0,0,0,0,0,4,10,6,60,1,1,0,0,0,0,0,0,0,,GK
7,Melker Ellborg,0,2,0,2025-2026,22,se SWE,Sunderland,eng Premier League,3,270,3,3,0,7,0,0,0,0,0,0,0,2,12,10,83.3,2,0,1,1,33.3,0,0,0,0,,GK
8,Álvaro Vallés,0,44,8,2023-2024,26,es ESP,Las Palmas,es La Liga,37,3263,36.3,37,0,0,0,0,0,0,0,0,0,44,147,109,72.8,10,10,17,8,21.6,8,4,3,1,42.9,GK
9,Álvaro Vallés,0,30,5,2025-2026,28,es ESP,Real Betis,es La Liga,24,2160,24,24,0,9,0,0,0,0,0,0,0,30,97,71,72.2,8,12,4,7,29.2,5,3,1,1,25,GK
10,Wojciech Szczęsny,0,29,6,2021-2022,31,pl POL,Juventus,it Serie A,33,2970,33,33,0,4,0,0,0,0,0,0,0,29,98,75,73.5,18,9,6,12,36.4,6,3,3,0,50,GK
11,Wojciech Szczęsny,0,26,3,2022-2023,32,pl POL,Juventus,it Serie A,28,2472,27.5,28,0,6,0,0,0,0,0,0,0,26,91,67,74.7,17,3,8,15,53.6,3,3,0,0,0,GK
12,Wojciech Szczęsny,0,30,3,2023-2024,33,pl POL,Juventus,it Serie A,35,3150,35,35,0,1,0,0,0,0,0,0,0,30,108,81,74.1,17,13,5,14,40,3,2,1,0,33.3,GK
13,Wojciech Szczęsny,0,12,1,2024-2025,34,pl POL,Barcelona,es La Liga,15,1350,15,15,0,14,0,0,0,0,0,0,0,12,32,21,65.6,14,1,0,8,53.3,1,1,0,0,0,GK
14,Wojciech Szczęsny,0,11,2,2025-2026,35,pl POL,Barcelona,es La Liga,6,540,6,6,0,24,0,0,0,0,0,0,0,11,25,16,60,4,0,2,0,0,2,1,1,0,50,GK
15,Odysseas Vlachodimos,0,12,1,2023-2024,29,gr GRE,Nottingham Forest,eng Premier League,5,450,5,5,0,14,0,0,0,0,0,0,0,12,21,10,47.6,1,0,4,1,20,1,1,0,0,0,GK
16,Odysseas Vlachodimos,0,48,10,2025-2026,31,gr GRE,Sevilla,es La Liga,29,2610,29,29,0,2,0,0,0,0,0,0,0,48,121,82,66.9,8,6,15,4,13.8,10,8,1,1,11.1,GK
17,Marius Müller,0,5,0,2024-2025,31,de GER,Wolfsburg,de Bundesliga,6,475,5.3,5,1,24,0,0,0,0,0,0,0,5,23,18,78.3,2,3,0,1,20,0,0,0,0,,GK
18,Jasper Cillessen,0,29,6,2021-2022,32,nl NED,Valencia,es La Liga,17,1457,16.2,17,0,12,0,1,1,0,0,0,0,29,72,49,66.7,4,8,5,3,17.6,6,5,1,0,16.7,GK
19,Jasper Cillessen,0,42,8,2024-2025,35,nl NED,Las Palmas,es La Liga,27,2335,25.9,27,0,5,0,0,0,0,0,0,0,42,123,88,69.1,6,8,13,3,11.1,8,4,3,1,42.9,GK
20,Alaa Bellaarouch,0,26,4,2023-2024,21,ma MAR,Strasbourg,fr Ligue 1,15,1350,15,15,0,19,0,0,0,0,0,0,0,26,59,37,61,4,2,9,2,13.3,4,3,1,0,25,GK
21,Arnau Rafús,0,2,0,2024-2025,21,es ESP,Valladolid,es La Liga,1,90,1,1,0,9,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,,GK
22,Altay Bayındır,0,10,0,2024-2025,26,tr TUR,Manchester Utd,eng Premier League,4,360,4,4,0,27,0,0,0,0,0,0,0,10,18,8,44.4,1,0,3,1,25,0,0,0,0,,GK
23,Altay Bayındır,0,11,0,2025-2026,27,tr TUR,Manchester Utd,eng Premier League,6,540,6,6,0,28,0,0,0,0,0,0,0,11,24,13,54.2,2,1,3,0,0,0,0,0,0,,GK
