Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,GA,SoTA,Saves,Save%,W,D,L,CS,CS%,Att,Launch%,AvgLen,Opp,Stp,Stp%,PSxG,PSxG/SoT,PSxG+/-,PKatt,PKA,PKsv,PKm,Save%,#OPA,AvgDist
Alisson,GK,2023-2024,30,br BRA,Liverpool,eng Premier League,28,2520,28,28,0,30,109,80,73.4,16,8,4,8,28.6,116,33.6,33.3,299,13,4.3,28.7,0.26,-0.3,1,1,0,0,0,33,17.7
Alphonse Areola,GK,2023-2024,30,fr FRA,West Ham,eng Premier League,31,2699,30,31,0,53,188,136,74.5,11,9,11,4,12.9,219,67.6,47.3,468,27,5.8,52.1,0.24,+2.1,7,5,2,0,28.6,7,8.9
Simone Aresti,GK,2023-2024,37,it ITA,Cagliari,it Serie A,1,1,0,0,1,1,1,0,100,0,0,0,0,,0,,,3,0,0,1,0,0,1,1,0,0,0,0,
Noah Atubolu,GK,2023-2024,21,de GER,Freiburg,de Bundesliga,34,3060,34,34,0,58,158,99,65.2,11,9,14,10,29.4,241,67.2,50.7,485,31,6.4,50,0.3,-7,5,3,2,0,40,30,13.6
Oliver Baumann,GK,2023-2024,33,de GER,Hoffenheim,de Bundesliga,34,3060,34,34,0,66,211,143,69.7,13,7,14,2,5.9,249,55.4,44.9,545,31,5.7,68.6,0.31,+3.6,5,2,3,0,60,73,16.7
Alaa Bellaarouch,GK,2023-2024,21,ma MAR,Strasbourg,fr Ligue 1,15,1350,15,15,0,26,63,37,63.5,4,2,9,2,13.3,61,37.7,36,203,19,9.4,19.8,0.25,-5.2,4,3,1,0,25,21,13.4
Etrit Berisha,GK,2023-2024,34,al ALB,Empoli,it Serie A,14,1260,14,14,0,25,74,49,68.9,3,3,8,4,28.6,90,50,40.8,236,11,4.7,20.7,0.24,-3.3,3,2,1,0,33.3,10,12.4
Marco Bizot,GK,2023-2024,32,nl NED,Brest,fr Ligue 1,32,2876,32,32,0,34,129,94,75.2,15,10,7,13,40.6,188,66.5,47.3,382,18,4.7,36.2,0.27,+2.2,3,2,1,0,33.3,41,15.7
Janis Blaswich,GK,2023-2024,32,de GER,RB Leipzig,de Bundesliga,21,1890,21,21,0,30,76,46,65.8,10,4,7,5,23.8,134,25.4,30.7,251,16,6.4,25.3,0.28,-4.7,4,4,0,0,0,37,17.6
Marcin Bułka,GK,2023-2024,23,pl POL,Nice,fr Ligue 1,34,3060,34,34,0,29,105,74,77.1,15,10,9,17,50,147,22.4,25.5,376,32,8.5,30.7,0.22,+2.7,8,5,3,0,37.5,21,12.2
Elia Caprile,GK,2023-2024,21,it ITA,Empoli,it Serie A,23,2070,23,23,0,27,106,78,78.3,6,6,11,5,21.7,159,53.5,45.1,391,31,7.9,27.6,0.22,+0.6,5,4,1,0,20,20,13.3
Marco Carnesecchi,GK,2023-2024,23,it ITA,Atalanta,it Serie A,27,2425,26.9,27,0,30,107,75,75.7,15,5,7,8,29.6,193,67.4,51.7,332,20,6,29.3,0.22,-0.7,7,4,2,1,33.3,39,14.7
Koen Casteels,GK,2023-2024,31,be BEL,Wolfsburg,de Bundesliga,25,2250,25,25,0,39,115,78,67.8,8,6,11,4,16,161,65.2,48.4,335,25,7.5,36.4,0.3,-0.6,3,2,0,1,0,38,15.7
Lucas Chevalier,GK,2023-2024,21,fr FRA,Lille,fr Ligue 1,33,2969,33,33,0,32,123,91,76.4,16,10,7,15,45.5,123,51.2,44.5,388,25,6.4,35.7,0.26,+5.7,5,3,2,0,40,28,12.7
Oliver Christensen,GK,2023-2024,24,dk DEN,Fiorentina,it Serie A,4,360,4,4,0,9,19,10,63.2,1,1,2,0,0,20,35,33.7,32,1,3.1,4.7,0.15,-4.3,2,2,0,0,0,9,19.5
Andrea Consigli,GK,2023-2024,36,it ITA,Sassuolo,it Serie A,35,3150,35,35,0,68,159,93,61.6,6,8,21,3,8.6,252,49.6,41.2,545,23,4.2,51.7,0.28,-13.3,10,7,1,2,12.5,22,11.8
Benoît Costil,GK,2023-2024,36,fr FRA,Salernitana,it Serie A,13,1170,13,13,0,29,66,38,60.6,2,3,8,1,7.7,104,70.2,51.1,212,2,0.9,23.6,0.32,-4.4,3,3,0,0,0,19,18.2
Alessio Cragno,GK,2023-2024,29,it ITA,Sassuolo,it Serie A,3,270,3,3,0,7,14,8,57.1,1,1,1,0,0,22,27.3,30.5,37,3,8.1,5.1,0.3,-0.9,1,1,0,0,0,8,18.6
Finn Dahmen,GK,2023-2024,25,de GER,Augsburg,de Bundesliga,31,2790,31,31,0,52,158,106,71.5,10,9,12,3,9.7,187,51.3,44.3,484,28,5.8,49.3,0.26,-0.7,10,7,2,1,22.2,50,15
Rémy Descamps,GK,2023-2024,27,fr FRA,Nantes,fr Ligue 1,6,540,6,6,0,11,37,26,73,2,2,2,1,16.7,71,74.6,49.8,116,8,6.9,12.5,0.35,+1.5,2,1,0,1,0,0,7.8
Arthur Desmas,GK,2023-2024,29,fr FRA,Le Havre,fr Ligue 1,33,2970,33,33,0,43,153,111,72.5,7,11,15,7,21.2,222,52.7,39.1,470,32,6.8,47,0.3,+6.0,3,1,1,1,50,24,12.5
Michele Di Gregorio,GK,2023-2024,26,it ITA,Monza,it Serie A,33,2872,31.9,33,0,35,159,122,79.9,11,11,11,12,36.4,223,52.5,44.2,469,19,4.1,45.4,0.26,+10.4,5,3,2,0,40,18,11.5
Mory Diaw,GK,2023-2024,30,sn SEN,Clermont Foot,fr Ligue 1,30,2700,30,30,0,54,188,134,74.5,4,8,18,5,16.7,176,58,44.5,439,39,8.9,57.1,0.28,+4.1,8,6,1,1,14.3,46,14.4
Stole Dimitrievski,GK,2023-2024,29,mk MKD,Rayo Vallecano,es La Liga,37,3330,37,37,0,47,150,104,69.3,8,14,15,13,35.1,267,60.3,48.4,529,23,4.3,46.9,0.31,+1.9,2,1,1,0,50,38,14.6
Yehvann Diouf,GK,2023-2024,23,fr FRA,Reims,fr Ligue 1,34,3060,34,34,0,47,137,90,70.1,13,8,13,8,23.5,157,42.7,36.9,522,38,7.3,42.7,0.27,-3.3,7,6,1,0,14.3,46,14.2
Marko Dmitrović,GK,2023-2024,31,rs SRB,Sevilla,es La Liga,13,1170,13,13,0,25,68,44,66.2,2,2,9,2,15.4,79,58.2,45.9,152,11,7.2,22.6,0.3,-1.4,2,2,0,0,0,15,15.4
Gianluigi Donnarumma,GK,2023-2024,24,it ITA,Paris S-G,fr Ligue 1,25,2169,24.1,25,0,20,110,89,84.5,18,6,1,10,40,131,16,23,294,15,5.1,30.3,0.25,+10.3,4,3,1,0,25,23,13.2
Martin Dúbravka,GK,2023-2024,34,sk SVK,Newcastle Utd,eng Premier League,23,1985,22.1,22,1,42,130,87,70.8,9,4,9,5,22.7,169,53.3,39.1,296,20,6.8,42.2,0.29,+0.2,5,4,1,0,20,22,12.9
Ederson,GK,2023-2024,29,br BRA,Manchester City,eng Premier League,33,2785,30.9,33,0,27,82,56,70.7,24,6,3,10,30.3,114,36,36.3,247,25,10.1,27.2,0.3,+1.2,3,3,0,0,0,50,17.3
Łukasz Fabiański,GK,2023-2024,38,pl POL,West Ham,eng Premier League,10,721,8,7,3,21,53,33,66,3,1,3,1,14.3,56,57.1,45.1,114,8,7,19.8,0.33,-0.2,3,3,0,0,0,1,7.6
Wladimiro Falcone,GK,2023-2024,28,it ITA,Lecce,it Serie A,38,3420,38,38,0,54,173,119,71.7,8,14,16,7,18.4,248,44,35.2,522,20,3.8,53.2,0.28,+0.2,6,5,1,0,16.7,20,11
Aitor Fernández,GK,2023-2024,32,es ESP,Osasuna,es La Liga,7,551,6.1,6,1,9,20,11,60,0,2,4,1,16.7,22,68.2,49.7,69,1,1.4,6.1,0.26,-2.9,1,1,0,0,0,15,24.8
André Ferreira,GK,2023-2024,27,pt POR,Granada,es La Liga,15,1340,14.9,14,1,29,77,49,66.2,0,5,9,0,0,110,58.2,44.3,195,6,3.1,27.8,0.33,-0.2,3,3,0,0,0,13,12.6
Mark Flekken,GK,2023-2024,30,nl NED,Brentford,eng Premier League,37,3285,36.5,37,0,63,176,113,65.3,10,9,18,7,18.9,289,60.9,46.7,568,44,7.7,55.4,0.31,-7.6,2,2,0,0,0,37,12.6
Wes Foderingham,GK,2023-2024,32,eng ENG,Sheffield Utd,eng Premier League,30,2649,29.4,29,1,79,204,130,63.7,3,4,22,1,3.4,262,73.3,52.3,468,28,6,70.5,0.33,-3.5,6,5,0,1,0,42,14.7
Paulo Gazzaniga,GK,2023-2024,31,ar ARG,Girona,es La Liga,38,3420,38,38,0,46,168,121,75.6,25,6,7,12,31.6,246,52,44.8,534,41,7.7,51.1,0.28,+5.1,7,5,1,1,16.7,33,13.2
Luca Gemello,GK,2023-2024,23,it ITA,Torino,it Serie A,2,180,2,2,0,5,9,4,55.6,0,0,2,0,0,12,8.3,19.7,24,3,12.5,3.6,0.31,-1.4,1,1,0,0,0,3,12
Mathieu Gorgelin,GK,2023-2024,32,fr FRA,Le Havre,fr Ligue 1,1,90,1,1,0,2,5,3,80,0,0,1,0,0,2,50,32.5,12,0,0,2.9,0.39,+0.9,1,1,0,0,0,1,14.5
Vicente Guaita,GK,2023-2024,36,es ESP,Celta Vigo,es La Liga,27,2403,26.7,26,1,39,120,83,70.8,8,7,11,6,23.1,213,58.2,45.3,420,23,5.5,39.7,0.31,+2.7,5,4,0,1,0,27,13.3
Dean Henderson,GK,2023-2024,26,eng ENG,Crystal Palace,eng Premier League,18,1620,18,18,0,30,86,57,66.3,8,4,6,4,22.2,105,65.7,47,246,5,2,27.4,0.31,-1.6,1,1,0,0,0,17,13.8
Sergio Herrera,GK,2023-2024,30,es ESP,Osasuna,es La Liga,32,2869,31.9,32,0,47,132,84,64.4,12,7,13,9,28.1,222,71.2,51.2,468,29,6.2,45.6,0.34,-1.4,1,0,1,0,100,43,16.4
Sam Johnstone,GK,2023-2024,30,eng ENG,Crystal Palace,eng Premier League,20,1796,20,20,0,27,67,41,62.7,5,6,9,6,30,141,75.2,52.8,339,24,7.1,20,0.27,-6,2,2,0,0,0,12,11.2
Filip Jørgensen,GK,2023-2024,21,dk DEN,Villarreal,es La Liga,36,3240,36,36,0,63,205,143,72.2,13,10,13,6,16.7,245,41.6,37.8,650,34,5.2,59.8,0.27,-2.2,6,6,0,0,0,36,13.4
Thomas Kaminski,GK,2023-2024,30,be BEL,Luton Town,eng Premier League,38,3405,37.8,38,0,85,221,140,63.3,6,8,24,2,5.3,341,66,47.5,558,16,2.9,77.6,0.34,-3.4,4,4,0,0,0,76,20.5
Gregor Kobel,GK,2023-2024,25,ch SUI,Dortmund,de Bundesliga,27,2365,26.3,27,0,34,118,84,75.4,14,8,5,7,25.9,165,43,38.5,359,7,1.9,36.8,0.28,+3.8,6,5,1,0,16.7,17,12.5
Philipp Köhn,GK,2023-2024,25,ch SUI,Monaco,fr Ligue 1,22,1980,22,22,0,32,97,65,72.2,11,5,6,5,22.7,130,57.7,43.5,282,22,7.8,32,0.27,+1.0,6,5,1,0,16.7,19,11.3
Alban Lafont,GK,2023-2024,24,fr FRA,Nantes,fr Ligue 1,28,2496,27.7,28,0,43,118,75,70.3,7,4,17,7,25,166,60.8,46.9,385,33,8.6,42.4,0.31,-0.6,8,8,0,0,0,33,13
Benjamin Lecomte,GK,2023-2024,32,fr FRA,Montpellier,fr Ligue 1,30,2700,30,30,0,37,137,102,75.9,9,11,10,10,33.3,221,41.2,36.4,471,29,6.2,36.8,0.24,+2.8,5,4,1,0,20,13,9.5
Jeremías Ledesma,GK,2023-2024,30,ar ARG,Cádiz,es La Liga,34,3048,33.9,34,0,47,151,104,70.2,6,12,16,9,26.5,284,85.6,62.1,526,53,10.1,46.4,0.3,-0.6,2,2,0,0,0,45,12.9
Bernd Leno,GK,2023-2024,31,de GER,Fulham,eng Premier League,38,3420,38,38,0,61,190,133,72.1,13,8,17,10,26.3,201,56.7,44.7,472,19,4,55.7,0.26,-1.3,8,8,0,0,0,40,14.2
Anthony Lopes,GK,2023-2024,32,pt POR,Lyon,fr Ligue 1,31,2790,31,31,0,49,155,106,71,16,4,11,9,29,196,38.8,34.1,438,36,8.2,43.5,0.25,-4.5,6,4,1,1,20,28,12.4
Pau López,GK,2023-2024,28,es ESP,Marseille,fr Ligue 1,33,2939,32.7,33,0,39,124,86,71,13,11,9,7,21.2,149,44.3,37.3,406,15,3.7,32.6,0.24,-5.4,3,3,0,0,0,25,13.9
Andriy Lunin,GK,2023-2024,24,ua UKR,Real Madrid,es La Liga,21,1890,21,21,0,17,65,48,75.4,16,5,0,10,47.6,116,20.7,28.7,283,27,9.5,21.2,0.31,+4.2,1,1,0,0,0,23,12.2
Mike Maignan,GK,2023-2024,28,fr FRA,Milan,it Serie A,29,2609,29,29,0,34,120,86,77.5,19,5,5,10,34.5,147,39.5,38,339,37,10.9,29.8,0.19,-4.2,7,7,0,0,0,36,15.2
Giorgi Mamardashvili,GK,2023-2024,22,ge GEO,Valencia,es La Liga,37,3284,36.5,37,0,41,145,103,73.8,13,10,14,13,35.1,245,71.8,53.4,530,45,8.5,49.2,0.31,+10.2,6,3,3,0,50,31,12.3
Steve Mandanda,GK,2023-2024,38,fr FRA,Rennes,fr Ligue 1,34,3060,34,34,0,46,147,104,70.7,12,10,12,7,20.6,192,58.3,43.1,451,36,8,38.2,0.25,-4.8,3,3,0,0,0,37,15.1
Diego Mariño,GK,2023-2024,33,es ESP,Almería,es La Liga,1,90,1,1,0,2,4,2,100,0,0,1,0,0,2,0,16.5,6,0,0,2.1,0.02,+0.1,2,2,0,0,0,2,22.7
Unai Marrero,GK,2023-2024,21,es ESP,Real Sociedad,es La Liga,2,142,1.6,1,1,3,5,2,60,0,0,1,0,0,8,100,63.4,27,1,3.7,2.9,0.37,-0.1,1,1,0,0,0,4,20.1
Emiliano Martínez,GK,2023-2024,30,ar ARG,Aston Villa,eng Premier League,34,3015,33.5,34,0,48,139,95,66.2,19,8,7,8,23.5,159,40.9,36.1,373,45,12.1,50.8,0.37,+6.8,1,1,0,0,0,69,17.5
Josep Martinez,GK,2023-2024,25,es ESP,Genoa,it Serie A,36,3239,36,36,0,43,130,87,69.2,11,13,12,8,22.2,171,66.7,49.4,580,45,7.8,38.9,0.28,-3.1,4,3,1,0,25,40,12.2
Marc Martínez,GK,2023-2024,33,es ESP,Granada,es La Liga,3,270,3,3,0,11,23,12,60.9,0,0,3,0,0,24,58.3,46.3,30,0,0,12.1,0.46,+1.1,2,2,0,0,0,10,23
Luís Maximiano,GK,2023-2024,24,pt POR,Almería,es La Liga,33,2970,33,33,0,63,175,111,66.3,2,11,20,6,18.2,264,61,46.3,551,25,4.5,59.7,0.32,-3.3,7,4,1,2,20,38,14.5
Alex Meret,GK,2023-2024,26,it ITA,Napoli,it Serie A,31,2773,30.8,31,0,40,104,62,63.5,10,13,8,5,16.1,137,22.6,29.5,334,9,2.7,38,0.33,-2,4,2,2,0,50,29,15.4
Vanja Milinković-Savić,GK,2023-2024,26,rs SRB,Torino,it Serie A,36,3240,36,36,0,31,134,103,81.3,13,14,9,18,50,239,86.2,66.6,407,38,9.3,33.8,0.21,+2.8,6,6,0,0,0,37,13.6
Lorenzo Montipò,GK,2023-2024,27,it ITA,Hellas Verona,it Serie A,37,3330,37,37,0,49,153,105,69.3,9,10,18,8,21.6,305,78.7,56.4,487,22,4.5,40.7,0.26,-7.3,2,2,0,0,0,43,15.3
Kevin Müller,GK,2023-2024,32,de GER,Heidenheim,de Bundesliga,34,3060,34,34,0,55,174,121,72.4,10,12,12,6,17.6,316,58.5,46.1,495,24,4.8,53.6,0.27,+1.6,10,7,1,2,12.5,17,13.2
Arijanet Muric,GK,2023-2024,24,xk KVX,Burnley,eng Premier League,10,900,10,10,0,16,78,62,80.8,2,4,4,0,0,33,60.6,45.1,143,20,14,21.7,0.26,+6.7,2,1,1,0,50,31,17.2
Juan Musso,GK,2023-2024,29,ar ARG,Atalanta,it Serie A,11,990,11,11,0,12,34,23,70.6,6,1,4,6,54.5,70,67.1,48.6,110,10,9.1,9.8,0.23,-1.2,2,2,0,0,0,16,16.7
Yvon Mvogo,GK,2023-2024,29,ch SUI,Lorient,fr Ligue 1,34,3060,34,34,0,66,207,142,72,7,8,19,4,11.8,228,48.2,38.8,591,24,4.1,63.1,0.27,-1.9,8,8,0,0,0,13,8.9
Keylor Navas,GK,2023-2024,36,cr CRC,Paris S-G,fr Ligue 1,4,360,4,4,0,6,12,6,58.3,2,2,0,1,25,18,5.6,22.2,37,0,0,4.7,0.31,-1.3,1,1,0,0,0,5,16.3
