Player,n_months,model,test_smape,test_mae
Aaron Hickey,81,ETS_damped_trend,41.80551128324872,6653434.165837546
Aaron Ramsdale,115,ETS_damped_trend,12.101606787598325,1679792.8651040404
Aaron Ramsey,55,ETS_damped_trend,28.240310892505523,3035345.736645049
Aaron Wan-Bissaka,96,ETS_damped_trend,5.102723301645237,1173310.9261231807
Aarón Anselmino,34,ETS_damped_trend,90.0817470991503,20865494.016864646
Abbosbek Fayzullaev,58,ETS_damped_trend,62.04449032852353,7806963.229416338
Abde Ezzalzouli,75,ETS_damped_trend,42.24714222920943,5742240.293195999
Abdel Abqar,91,ETS_damped_trend,32.638173572612075,2724619.740708813
Abdoulaye Ndiaye,84,ETS_damped_trend,56.19065616081373,2666672.8022769573
Abdukodir Khusanov,47,ETS_damped_trend,123.49778776348188,226957992.6832269
Abner,81,ETS_damped_trend,28.805568061952552,2395139.44409907
Achraf Hakimi,116,ETS_damped_trend,11.23919887437561,8425800.50853139
Adam Armstrong,138,ETS_damped_trend,36.76579629622416,4606942.3936659945
Adam Aznou,25,ETS_damped_trend,33.038083513084764,2434816.0675428025
Adam Hlozek,89,ETS_damped_trend,8.176035173529126,1354430.8832700732
Adam Webster,171,ETS_damped_trend,41.13646020307878,4497366.465655002
Adam Wharton,43,ETS_damped_trend,32.19476088624678,15304933.31790924
Adama Traoré,155,ETS_damped_trend,15.825468650481737,1459749.037866543
Ademola Lookman,121,ETS_damped_trend,23.89697670879929,12018090.852837384
Adrian Semper,116,ETS_damped_trend,19.855261670572,626538.537082041
Adrien Rabiot,166,ETS_damped_trend,13.58556168670438,3074519.6739642303
Adrien Truffert,69,ETS_damped_trend,12.374161917587,2151543.2704472025
Adrián Bernabé,80,ETS_damped_trend,13.269377136106112,2176046.3573541907
Agustín Giay,46,ETS_damped_trend,31.242253612530906,2789962.99524158
Agustín Rossi,130,ETS_damped_trend,11.681522782736893,1014106.4614139264
Aimar Oroz,80,ETS_damped_trend,61.75099338066104,11990101.765113475
Ainsley Maitland-Niles,131,ETS_damped_trend,10.35345340956441,1132085.0407106876
Aitor Paredes,66,ETS_damped_trend,11.416419883212384,2362610.904751806
Akram Afif,135,ETS_damped_trend,5.183286145967269,428558.9429702432
Alan Varela,63,ETS_damped_trend,16.407318741791418,5744512.041255742
Alban Lafont,126,ETS_damped_trend,29.477395407178538,1053240.7693002773
Albert Grønbæk,70,ETS_damped_trend,44.9247999597133,6048120.683966074
Albert Gudmundsson,130,ETS_damped_trend,39.925867121075775,9282956.182463014
Alberto Costa,19,LinearRegression_log_trend,,
Alberto Dossena,126,ETS_damped_trend,9.228747980096973,787589.4028758117
Alberto Moleiro,67,ETS_damped_trend,18.84040117719552,5780444.852166676
Albian Hajdari,65,ETS_damped_trend,28.118549388701027,4162421.4323004596
Albion Rrahmani,53,ETS_damped_trend,30.109626572050857,2658222.7312584263
Aleix García,107,ETS_damped_trend,1.9264586525932381,381084.47838396113
Alejandro Balde,67,ETS_damped_trend,23.543935848090655,16575530.765157608
Alejandro Garnacho,46,ETS_damped_trend,9.857720254671342,4693161.543835578
Alejandro Grimaldo,170,ETS_damped_trend,35.11923837635425,11666746.124450868
Aleksandar Mitrović,163,ETS_damped_trend,32.661573556216936,7026582.471145638
Aleksandar Pavlovic,33,ETS_damped_trend,37.37340912724623,28396021.434100937
Aleksandar Stanković,23,LinearRegression_log_trend,,
Aleksandr Chernikov,118,ETS_damped_trend,16.425608064056306,1297367.6803863894
Aleksandr Golovin,153,ETS_damped_trend,34.655630005890856,8167517.402413249
Aleksandr Maksimenko,129,ETS_damped_trend,12.339192212768047,624593.9370532096
Aleksey Batrakov,42,ETS_damped_trend,35.848285782953354,11376908.235107956
Aleksey Miranchuk,157,ETS_damped_trend,14.68969553390541,1350205.465444656
Alessandro Bastoni,115,ETS_damped_trend,1.3972616063793313,1128132.5517766923
Alessandro Buongiorno,114,ETS_damped_trend,22.85547395931754,13738643.626878778
Alessandro Circati,47,ETS_damped_trend,35.30537001827134,3572159.506639607
Alex Iwobi,123,ETS_damped_trend,6.638826122184997,1758730.2297466563
Alex Meret,150,ETS_damped_trend,31.242649491164997,4800557.758708232
Alex Scott,62,ETS_damped_trend,12.950677055520444,3354891.1765037724
Alexander Bah,117,ETS_damped_trend,36.06824994799813,4248558.835685735
Alexander Isak,119,ETS_damped_trend,8.439283400577253,10102064.594174521
Alexander Nübel,141,ETS_damped_trend,0.29506924684296193,35467.071880202275
Alexander Schlager,154,ETS_damped_trend,8.96756305799128,237886.15490971704
Alexander Sørloth,152,ETS_damped_trend,18.22351100888676,4490976.705752688
Alexandre Penetra,56,ETS_damped_trend,33.71749748952771,2596786.549057635
Alexandro Bernabei,74,ETS_damped_trend,9.8556026964208,642178.815908821
Alexis Claude-Maurice,114,ETS_damped_trend,10.51802046164899,1379567.1541020875
Alexis Mac Allister,103,ETS_damped_trend,9.134368739918527,8487558.262854336
Alexis Saelemaekers,95,ETS_damped_trend,10.37132835050054,1904879.0853551172
Alexis Vega,117,ETS_damped_trend,13.7096500574423,1275075.1410249386
Alexsandro,54,ETS_damped_trend,10.196620617271586,2045945.3144255022
Alisson,171,ETS_damped_trend,30.817182325930887,3480264.6273046355
Alistair Johnston,75,ETS_damped_trend,21.680569454528342,2159802.0779106636
Allan Saint-Maximin,154,ETS_damped_trend,15.132768995738605,2144671.649941888
Alphonse Areola,190,ETS_damped_trend,24.533156694949078,2220353.9010108495
Alphonso Davies,113,ETS_damped_trend,7.568711368158764,3972142.8236060715
Altay Bayındır,130,ETS_damped_trend,26.35243939717709,2283080.6886340505
Alvyn Sanches,65,ETS_damped_trend,71.4790783521739,16874165.998795982
Amad Diallo,67,ETS_damped_trend,8.275749189714228,3724444.870703886
Amadou Haidara,118,ETS_damped_trend,61.2461290118993,8653828.605269536
Amadou Onana,70,ETS_damped_trend,33.240632689790935,18059122.73035584
Amar Dedić,82,ETS_damped_trend,24.12753634571022,3742974.731414329
Amine Adli,80,ETS_damped_trend,29.84284237657551,6905478.02711231
Amine Gouiri,103,ETS_damped_trend,35.486609857079316,8661152.37457563
Amir Murillo,132,ETS_damped_trend,9.052732125306838,969553.3832547559
Amir Rrahmani,150,ETS_damped_trend,8.172209139930517,935867.3448791368
Anan Khalaili,36,ETS_damped_trend,38.15080203062655,3301708.9419057188
Anass Salah-Eddine,69,ETS_damped_trend,24.338890016692815,2724779.718730618
Anass Zaroury,81,ETS_damped_trend,22.364745671035806,2085638.5541515136
Anastasios Douvikas,105,ETS_damped_trend,17.71428957292988,1614467.7011278325
Anatoliy Trubin,76,ETS_damped_trend,5.4239641114305766,1537622.731672963
Ander Barrenetxea,87,ETS_damped_trend,10.484756767241333,1840285.0265546113
Anders Dreyer,107,ETS_damped_trend,26.796229063137616,3114646.3700855225
Andrea Cambiaso,103,ETS_damped_trend,20.326410246493168,7995035.821609479
Andrea Colpani,115,ETS_damped_trend,65.20789051719913,7776862.5620635785
Andrea Pinamonti,126,ETS_damped_trend,10.780730435420034,1721175.296520181
Andreas Christensen,139,ETS_damped_trend,29.1691847065324,3800107.3466886114
Andreas Pereira,133,ETS_damped_trend,20.549601271147864,3767034.650547547
Andreas Schjelderup,63,ETS_damped_trend,20.627966222050443,2734508.6790385614
Andreas Skov Olsen,104,ETS_damped_trend,33.78012909162118,4890619.2313824035
Andrei Rațiu,91,ETS_damped_trend,42.10105624003687,7900274.799901885
Andrew,87,ETS_damped_trend,9.423833305786243,507728.1574493793
Andrew Omobamidele,62,ETS_damped_trend,26.633022259242917,2333596.0281045665
Andrew Robertson,158,ETS_damped_trend,30.420238954843974,5090988.316509459
Andrey Santos,45,ETS_damped_trend,32.067474430207646,10228180.55606754
Andrija Maksimovic,32,ETS_damped_trend,57.579581003710935,15712583.501965186
Andrija Zivkovic,150,ETS_damped_trend,0.07890916347453598,6315.47307370052
Andriy Lunin,112,ETS_damped_trend,17.599272935650827,3171041.037392535
André,68,ETS_damped_trend,13.42607487733691,4158849.001435096
André Almeida,116,ETS_damped_trend,12.211091096663019,1194536.294514806
André Gomes,47,ETS_damped_trend,7.023077339375367,165365.431510878
André Onana,136,ETS_damped_trend,50.21456001850903,12769232.116320776
Andrés García,32,ETS_damped_trend,90.88094694005996,16417399.422255902
Andrés Sánchez,93,ETS_damped_trend,8.686335263844706,209143.1477125584
Andy Diouf,57,ETS_damped_trend,17.269981032936144,2575785.3720490444
Anel Ahmedhodzic,83,ETS_damped_trend,12.674942687791937,2307891.8911838317
Ange-Yoan Bonny,53,ETS_damped_trend,61.520247686343495,22802484.440744143
Angel Gomes,81,ETS_damped_trend,7.759175553660212,1436753.9427566363
Angeliño,112,ETS_damped_trend,23.957842720930156,5810469.066772941
Angelo Stiller,76,ETS_damped_trend,8.895872425843741,3799182.571079382
Anis Hadj Moussa,31,ETS_damped_trend,75.52298822621441,26411604.99953721
Anis Mehmeti,65,ETS_damped_trend,53.552174947620735,3619098.3730348474
Ansgar Knauff,68,ETS_damped_trend,33.568670533316954,4254951.393117479
Ansu Fati,80,ETS_damped_trend,112.11599282835012,5922518.608405159
Ante Crnac,59,ETS_damped_trend,43.69422275470381,4554989.033613748
Anthoni,45,ETS_damped_trend,22.421568682331653,817513.6304245451
Anthony Caci,92,ETS_damped_trend,9.644773250530257,1055468.9680588671
Anthony Elanga,59,ETS_damped_trend,6.049620538184429,2851443.3163225097
Anthony Gordon,77,ETS_damped_trend,22.801001749797088,16597263.91576153
Anthony Patterson,47,ETS_damped_trend,21.573163445883626,2728224.6520694485
Anthony Rouault,80,ETS_damped_trend,28.574136442054876,3302103.696028317
Antoine Griezmann,200,ETS_damped_trend,41.97150495227586,7048311.709749802
Antoine Semenyo,83,ETS_damped_trend,10.911591306804285,5850034.180156889
Anton Gaaei,59,ETS_damped_trend,54.80368578832145,5314415.018904516
Anton Stach,105,ETS_damped_trend,19.730674944771483,3373283.9510646113
Antonee Robinson,104,ETS_damped_trend,13.259181041537035,4608223.201727093
Antoni Milambo,55,ETS_damped_trend,19.376530543531114,4463300.667201034
Antonio Blanco,80,ETS_damped_trend,9.549757318310437,884264.433875706
Antonio Nusa,58,ETS_damped_trend,13.143117464306581,4230378.115912732
Antonio Rüdiger,178,ETS_damped_trend,42.71314855107817,8144768.768555927
Antonio Sivera,117,ETS_damped_trend,15.738589205571854,1050737.1428927055
Antony,87,ETS_damped_trend,45.848320595353684,11724064.832912808
Antonín Kinský,65,ETS_damped_trend,109.6006591542509,53055430.810740955
António Silva,54,ETS_damped_trend,12.745617963254505,3712393.6797419656
Aníbal Moreno,84,ETS_damped_trend,0.05250629914236715,5774.177002320066
Ao Tanaka,110,ETS_damped_trend,11.773754308787794,1221826.1064620907
Archie Brown,55,ETS_damped_trend,50.40413442668722,6556065.828973137
Archie Gray,42,ETS_damped_trend,78.80284202830902,61010006.01555851
Arda Güler,58,ETS_damped_trend,29.66039530376153,19689191.90843494
Ardon Jashari,70,ETS_damped_trend,43.09299242392427,20631018.04820336
Arijanet Murić,91,ETS_damped_trend,22.051698038523018,1381934.861539197
Armand Laurienté,88,ETS_damped_trend,4.42579374116924,661201.5940253147
Armando Broja,70,ETS_damped_trend,9.129790137750927,1057921.648994635
Armel Bella-Kotchap,86,ETS_damped_trend,39.002438373722704,3896965.6334855035
Arnau Martínez,61,ETS_damped_trend,3.59959946360143,367609.55661663506
Arnau Tenas,70,ETS_damped_trend,14.797815700276177,552395.1599853899
Arnaud Bodart,107,ETS_damped_trend,8.367091842210316,192154.08572038866
Arnaud Kalimuendo,69,ETS_damped_trend,18.946427787726652,4385339.897045911
Arne Engels,67,ETS_damped_trend,44.745240466702164,6603131.17021283
Arouna Sangante,57,ETS_damped_trend,34.360897736251,3395576.842632729
Arseniy Batagov,83,ETS_damped_trend,35.468970558265305,2264240.904540226
Artem Bondarenko,68,ETS_damped_trend,7.650197909636647,749578.9004482627
Artem Dovbyk,120,ETS_damped_trend,11.163370972353114,3085513.862221679
Arthur,45,ETS_damped_trend,22.36213252749683,1815111.8086873228
Arthur Atta,37,ETS_damped_trend,85.29589039201385,6140043.605853411
Arthur Cabral,103,ETS_damped_trend,32.1548815916643,3680267.789716959
Arthur Theate,69,ETS_damped_trend,4.524278703490555,1057537.1519314086
Arthur Vermeeren,46,ETS_damped_trend,7.950483212259455,1911844.4728812578
Artur,103,ETS_damped_trend,14.983939487715494,1223679.9182392352
Assan Ouédraogo,34,ETS_damped_trend,55.771714401112284,8851061.082285156
Assane Diao,35,ETS_damped_trend,7.300512693201901,2082312.913564828
Atakan Karazor,130,ETS_damped_trend,33.101654229096305,4293254.416677304
Augusto Batalla,136,ETS_damped_trend,0.004005027770939436,240.30739534460008
Aurèle Amenda,55,ETS_damped_trend,60.69065822544189,6606530.061261109
Aurélien Tchouaméni,92,ETS_damped_trend,16.600965956653322,13781956.363884682
Axel Disasi,128,ETS_damped_trend,50.920790100457594,12591742.834301889
Axel Tape,11,LinearRegression_log_trend,,
Ayase Ueda,83,ETS_damped_trend,20.20209462047818,2375145.091029815
Ayden Heaven,26,ETS_damped_trend,130.70238003066737,225478500.6618464
Aymeric Laporte,161,ETS_damped_trend,44.93614290093615,6344863.079446343
Ayyoub Bouaddi,29,ETS_damped_trend,58.16597772815386,31149779.7585222
