Player,Market Value,profile_href
Pau Cubarsí,€80.00m,/pau-cubarsi/profil/spieler/962110
William Saliba,€80.00m,/william-saliba/profil/spieler/495666
Achraf Hakimi,€80.00m,/achraf-hakimi/profil/spieler/398073
Alessandro Bastoni,€80.00m,/alessandro-bastoni/profil/spieler/315853
Nuno Mendes,€75.00m,/nuno-mendes/profil/spieler/616341
Josko Gvardiol,€75.00m,/josko-gvardiol/profil/spieler/475959
Gabriel Magalhães,€75.00m,/gabriel-magalhaes/profil/spieler/435338
Trent Alexander-Arnold,€75.00m,/trent-alexander-arnold/profil/spieler/314353
Dean Huijsen,€70.00m,/dean-huijsen/profil/spieler/890290
Willian Pacho,€65.00m,/willian-pacho/profil/spieler/661171
Jules Koundé,€65.00m,/jules-kounde/profil/spieler/411975
Alejandro Balde,€60.00m,/alejandro-balde/profil/spieler/636688
Jurriën Timber,€60.00m,/jurrien-timber/profil/spieler/420243
Dayot Upamecano,€60.00m,/dayot-upamecano/profil/spieler/344695
Rúben Dias,€60.00m,/ruben-dias/profil/spieler/258004
Murillo,€55.00m,/murillo/profil/spieler/1005649
Leny Yoro,€55.00m,/leny-yoro/profil/spieler/923831
Ilya Zabarnyi,€55.00m,/ilya-zabarnyi/profil/spieler/659089
Levi Colwill,€55.00m,/levi-colwill/profil/spieler/614258
Micky van de Ven,€55.00m,/micky-van-de-ven/profil/spieler/557459
Ibrahima Konaté,€55.00m,/ibrahima-konate/profil/spieler/357119
Cristian Romero,€55.00m,/cristian-romero/profil/spieler/355915
Álvaro Carreras,€50.00m,/alvaro-carreras/profil/spieler/811778
Jarrad Branthwaite,€50.00m,/jarrad-branthwaite/profil/spieler/661053
Piero Hincapié,€50.00m,/piero-hincapie/profil/spieler/659813
Bremer,€50.00m,/bremer/profil/spieler/516716
Alphonso Davies,€50.00m,/alphonso-davies/profil/spieler/424204
Marc Guéhi,€50.00m,/marc-guehi/profil/spieler/392757
Alessandro Buongiorno,€50.00m,/alessandro-buongiorno/profil/spieler/386446
Federico Dimarco,€50.00m,/federico-dimarco/profil/spieler/198116
Ousmane Diomande,€45.00m,/ousmane-diomande/profil/spieler/974982
Myles Lewis-Skelly,€45.00m,/myles-lewis-skelly/profil/spieler/890721
Milos Kerkez,€45.00m,/milos-kerkez/profil/spieler/730861
Gonçalo Inácio,€45.00m,/goncalo-inacio/profil/spieler/549006
Jeremie Frimpong,€45.00m,/jeremie-frimpong/profil/spieler/484547
Marc Cucurella,€45.00m,/marc-cucurella/profil/spieler/284857
Jorrel Hato,€40.00m,/jorrel-hato/profil/spieler/904802
Rico Lewis,€40.00m,/rico-lewis/profil/spieler/701057
Castello Lukeba,€40.00m,/castello-lukeba/profil/spieler/618472
Rayan Aït-Nouri,€40.00m,/rayan-ait-nouri/profil/spieler/578391
Destiny Udogie,€40.00m,/destiny-udogie/profil/spieler/556385
Pedro Porro,€40.00m,/pedro-porro/profil/spieler/553875
Dani Vivian,€40.00m,/dani-vivian/profil/spieler/524000
Tino Livramento,€40.00m,/tino-livramento/profil/spieler/503981
Riccardo Calafiori,€40.00m,/riccardo-calafiori/profil/spieler/502821
Nico Schlotterbeck,€40.00m,/nico-schlotterbeck/profil/spieler/388198
Sven Botman,€40.00m,/sven-botman/profil/spieler/361093
Ben White,€38.00m,/ben-white/profil/spieler/335721
Matthijs de Ligt,€38.00m,/matthijs-de-ligt/profil/spieler/326031
Abdukodir Khusanov,€35.00m,/abdukodir-khusanov/profil/spieler/763079
Cristhian Mosquera,€35.00m,/cristhian-mosquera/profil/spieler/646750
Jarell Quansah,€35.00m,/jarell-quansah/profil/spieler/632349
Malo Gusto,€35.00m,/malo-gusto/profil/spieler/620322
Matheus Nunes,€35.00m,/matheus-nunes/profil/spieler/601883
Jan Paul van Hecke,€35.00m,/jan-paul-van-hecke/profil/spieler/576314
Giorgio Scalvini,€35.00m,/giorgio-scalvini/profil/spieler/571604
Edmond Tapsoba,€35.00m,/edmond-tapsoba/profil/spieler/564545
Lisandro Martínez,€35.00m,/lisandro-martinez/profil/spieler/480762
Ronald Araujo,€35.00m,/ronald-araujo/profil/spieler/480267
Reece James,€35.00m,/reece-james/profil/spieler/472423
Nathan Collins,€35.00m,/nathan-collins/profil/spieler/469050
Bafodé Diakité,€35.00m,/bafode-diakite/profil/spieler/463605
Yann Bisseck,€35.00m,/yann-bisseck/profil/spieler/441986
Nikola Milenković,€35.00m,/nikola-milenkovic/profil/spieler/413507
Ezri Konsa,€35.00m,/ezri-konsa/profil/spieler/413403
Robin Le Normand,€35.00m,/robin-le-normand/profil/spieler/351809
Antonee Robinson,€35.00m,/antonee-robinson/profil/spieler/349701
Theo Hernández,€35.00m,/theo-hernandez/profil/spieler/339808
Denzel Dumfries,€35.00m,/denzel-dumfries/profil/spieler/321528
Marquinhos,€35.00m,/marquinhos/profil/spieler/181767
Lewis Hall,€32.00m,/lewis-hall/profil/spieler/670858
António Silva,€32.00m,/antonio-silva/profil/spieler/650568
Tomás Araújo,€32.00m,/tomas-araujo/profil/spieler/504087
Min-jae Kim,€32.00m,/min-jae-kim/profil/spieler/503482
Josip Stanisic,€32.00m,/josip-stanisic/profil/spieler/483046
Maxence Lacroix,€32.00m,/maxence-lacroix/profil/spieler/434224
Trevoh Chalobah,€32.00m,/trevoh-chalobah/profil/spieler/346314
Vitor Reis,€30.00m,/vitor-reis/profil/spieler/1005575
Raúl Asencio,€30.00m,/raul-asencio/profil/spieler/935245
Nico O'Reilly,€30.00m,/nico-oreilly/profil/spieler/743413
Nathaniel Brown,€30.00m,/nathaniel-brown/profil/spieler/691892
Conor Bradley,€30.00m,/conor-bradley/profil/spieler/624258
