Player,Market Value,profile_href
Lamine Yamal,€200.00m,/lamine-yamal/profil/spieler/937958
Erling Haaland,€180.00m,/erling-haaland/profil/spieler/418560
Kylian Mbappé,€180.00m,/kylian-mbappe/profil/spieler/342229
Vinicius Junior,€150.00m,/vinicius-junior/profil/spieler/371998
Bukayo Saka,€140.00m,/bukayo-saka/profil/spieler/433177
Alexander Isak,€140.00m,/alexander-isak/profil/spieler/349066
Michael Olise,€130.00m,/michael-olise/profil/spieler/566723
Julián Alvarez,€100.00m,/julian-alvarez/profil/spieler/576024
Ousmane Dembélé,€100.00m,/ousmane-dembele/profil/spieler/288230
Désiré Doué,€90.00m,/desire-doue/profil/spieler/914562
Khvicha Kvaratskhelia,€90.00m,/khvicha-kvaratskhelia/profil/spieler/502670
Raphinha,€90.00m,/raphinha/profil/spieler/411295
Hugo Ekitiké,€85.00m,/hugo-ekitike/profil/spieler/709726
Lautaro Martínez,€85.00m,/lautaro-martinez/profil/spieler/406625
Rodrygo,€80.00m,/rodrygo/profil/spieler/412363
Phil Foden,€80.00m,/phil-foden/profil/spieler/406635
Kenan Yıldız,€75.00m,/kenan-yildiz/profil/spieler/845654
Omar Marmoush,€75.00m,/omar-marmoush/profil/spieler/445939
Victor Osimhen,€75.00m,/victor-osimhen/profil/spieler/401923
Viktor Gyökeres,€75.00m,/viktor-gyokeres/profil/spieler/325443
Marcus Thuram,€75.00m,/marcus-thuram/profil/spieler/318528
Harry Kane,€75.00m,/harry-kane/profil/spieler/132098
Nico Williams,€70.00m,/nico-williams/profil/spieler/709187
Bradley Barcola,€70.00m,/bradley-barcola/profil/spieler/708265
Benjamin Sesko,€70.00m,/benjamin-sesko/profil/spieler/627442
Matheus Cunha,€70.00m,/matheus-cunha/profil/spieler/517894
Luis Díaz,€70.00m,/luis-diaz/profil/spieler/480692
Cody Gakpo,€70.00m,/cody-gakpo/profil/spieler/434675
Bryan Mbeumo,€70.00m,/bryan-mbeumo/profil/spieler/413039
Rafael Leão,€70.00m,/rafael-leao/profil/spieler/357164
João Pedro,€65.00m,/joao-pedro/profil/spieler/626724
Anthony Gordon,€65.00m,/anthony-gordon/profil/spieler/503733
Nick Woltemade,€65.00m,/nick-woltemade/profil/spieler/455661
Estêvão,€60.00m,/estevao/profil/spieler/1056993
Karim Adeyemi,€60.00m,/karim-adeyemi/profil/spieler/496094
Christian Pulisic,€60.00m,/christian-pulisic/profil/spieler/315779
Kai Havertz,€60.00m,/kai-havertz/profil/spieler/309400
Antoine Semenyo,€55.00m,/antoine-semenyo/profil/spieler/583255
Anthony Elanga,€55.00m,/anthony-elanga/profil/spieler/583189
Álex Baena,€55.00m,/alex-baena/profil/spieler/548111
Mohammed Kudus,€55.00m,/mohammed-kudus/profil/spieler/543499
Pedro Neto,€55.00m,/pedro-neto/profil/spieler/487465
Jérémy Doku,€55.00m,/jeremy-doku/profil/spieler/486049
Franco Mastantuono,€50.00m,/franco-mastantuono/profil/spieler/1057316
Samu Aghehowa,€50.00m,/samu-aghehowa/profil/spieler/991268
Nicolas Jackson,€50.00m,/nicolas-jackson/profil/spieler/776890
Savinho,€50.00m,/savinho/profil/spieler/743591
Noni Madueke,€50.00m,/noni-madueke/profil/spieler/503987
Ferran Torres,€50.00m,/ferran-torres/profil/spieler/398184
Moise Kean,€50.00m,/moise-kean/profil/spieler/364135
Geovany Quenda,€45.00m,/geovany-quenda/profil/spieler/1138758
Alejandro Garnacho,€45.00m,/alejandro-garnacho/profil/spieler/811779
Maghnes Akliouche,€45.00m,/maghnes-akliouche/profil/spieler/745200
Jamie Gittens,€45.00m,/jamie-gittens/profil/spieler/670882
Gabriel Martinelli,€45.00m,/gabriel-martinelli/profil/spieler/655488
Rasmus Højlund,€45.00m,/rasmus-hojlund/profil/spieler/610442
Rayan Cherki,€45.00m,/rayan-cherki/profil/spieler/607223
Mateo Retegui,€45.00m,/mateo-retegui/profil/spieler/554903
Darwin Núñez,€45.00m,/darwin-nunez/profil/spieler/546543
Jonathan David,€45.00m,/jonathan-david/profil/spieler/533738
Loïs Openda,€45.00m,/lois-openda/profil/spieler/368887
Serhou Guirassy,€45.00m,/serhou-guirassy/profil/spieler/270541
Mohamed Salah,€45.00m,/mohamed-salah/profil/spieler/148455
Yoane Wissa,€42.00m,/yoane-wissa/profil/spieler/388165
Evanilson,€40.00m,/evanilson/profil/spieler/711337
Liam Delap,€40.00m,/liam-delap/profil/spieler/610849
Gonçalo Ramos,€40.00m,/goncalo-ramos/profil/spieler/550550
Amad Diallo,€40.00m,/amad-diallo/profil/spieler/536835
Mason Greenwood,€40.00m,/mason-greenwood/profil/spieler/532826
Brennan Johnson,€40.00m,/brennan-johnson/profil/spieler/470607
Jørgen Strand Larsen,€40.00m,/jorgen-strand-larsen/profil/spieler/429983
Ademola Lookman,€40.00m,/ademola-lookman/profil/spieler/406040
Dan Ndoye,€40.00m,/dan-ndoye/profil/spieler/365108
Jarrod Bowen,€40.00m,/jarrod-bowen/profil/spieler/314875
Brahim Díaz,€40.00m,/brahim-diaz/profil/spieler/314678
Marcus Rashford,€40.00m,/marcus-rashford/profil/spieler/258923
Dominic Solanke,€40.00m,/dominic-solanke/profil/spieler/258889
Yankuba Minteh,€35.00m,/yankuba-minteh/profil/spieler/1012534
Endrick,€35.00m,/endrick/profil/spieler/971570
Tyler Dibling,€35.00m,/tyler-dibling/profil/spieler/866655
Santiago Castro,€35.00m,/santiago-castro/profil/spieler/849520
Dango Ouattara,€35.00m,/dango-ouattara/profil/spieler/823231
Mathys Tel,€35.00m,/mathys-tel/profil/spieler/801734
Giuliano Simeone,€35.00m,/giuliano-simeone/profil/spieler/742201
Matías Soulé,€35.00m,/matias-soule/profil/spieler/668951
Igor Paixão,€35.00m,/igor-paixao/profil/spieler/653610
Jhon Durán,€35.00m,/jhon-duran/profil/spieler/649317
Iliman Ndiaye,€35.00m,/iliman-ndiaye/profil/spieler/623570
Dilane Bakwa,€35.00m,/dilane-bakwa/profil/spieler/540664
Kaoru Mitoma,€35.00m,/kaoru-mitoma/profil/spieler/504849
Jean-Philippe Mateta,€35.00m,/jean-philippe-mateta/profil/spieler/420002
Francisco Trincão,€35.00m,/francisco-trincao/profil/spieler/412669
Harvey Barnes,€35.00m,/harvey-barnes/profil/spieler/398065
Dušan Vlahović,€35.00m,/dusan-vlahovic/profil/spieler/357498
Christopher Nkunku,€35.00m,/christopher-nkunku/profil/spieler/344381
Jonathan Burkardt,€35.00m,/jonathan-burkardt/profil/spieler/333647
Vangelis Pavlidis,€35.00m,/vangelis-pavlidis/profil/spieler/324503
Ollie Watkins,€35.00m,/ollie-watkins/profil/spieler/324358
Mohamed Amoura,€32.00m,/mohamed-amoura/profil/spieler/746910
Georginio Rutter,€32.00m,/georginio-rutter/profil/spieler/538977
Jesús Rodríguez,€30.00m,/jesus-rodriguez/profil/spieler/1190411
Assane Diao,€30.00m,/assane-diao/profil/spieler/1061282
Thierno Barry,€30.00m,/thierno-barry/profil/spieler/937941
Pio Esposito,€30.00m,/pio-esposito/profil/spieler/930781
Kevin,€30.00m,/kevin/profil/spieler/900195
Malick Fofana,€30.00m,/malick-fofana/profil/spieler/743386
Georges Mikautadze,€30.00m,/georges-mikautadze/profil/spieler/729814
Oscar Bobb,€30.00m,/oscar-bobb/profil/spieler/661207
Antony,€30.00m,/antony/profil/spieler/602105
Arnaud Kalimuendo,€30.00m,/arnaud-kalimuendo/profil/spieler/585959
Maximilian Beier,€30.00m,/maximilian-beier/profil/spieler/578392
Lorenzo Lucca,€30.00m,/lorenzo-lucca/profil/spieler/572265
Yéremy Pino,€30.00m,/yeremy-pino/profil/spieler/568157
Mika Biereth,€30.00m,/mika-biereth/profil/spieler/565821
Johan Bakayoko,€30.00m,/johan-bakayoko/profil/spieler/565424
Evann Guessand,€30.00m,/evann-guessand/profil/spieler/500689
Randal Kolo Muani,€30.00m,/randal-kolo-muani/profil/spieler/487969
Francisco Conceição,€30.00m,/francisco-conceicao/profil/spieler/487474
Kevin Schade,€30.00m,/kevin-schade/profil/spieler/473050
Christos Tzolis,€30.00m,/christos-tzolis/profil/spieler/451677
Pedro Gonçalves,€30.00m,/pedro-goncalves/profil/spieler/426620
Amine Gouiri,€30.00m,/amine-gouiri/profil/spieler/418659
Ismaïla Sarr,€30.00m,/ismaila-sarr/profil/spieler/410225
Takefusa Kubo,€30.00m,/takefusa-kubo/profil/spieler/405398
Moussa Diaby,€30.00m,/moussa-diaby/profil/spieler/395516
Callum Hudson-Odoi,€30.00m,/callum-hudson-odoi/profil/spieler/392768
Kingsley Coman,€30.00m,/kingsley-coman/profil/spieler/243714
Antonio Nusa,€28.00m,/antonio-nusa/profil/spieler/894914
Eliesse Ben Seghir,€28.00m,/eliesse-ben-seghir/profil/spieler/810895
Brajan Gruda,€28.00m,/brajan-gruda/profil/spieler/700106
Fábio Silva,€28.00m,/fabio-silva/profil/spieler/505653
Joshua Zirkzee,€28.00m,/joshua-zirkzee/profil/spieler/435648
Alex Iwobi,€28.00m,/alex-iwobi/profil/spieler/242631
Jack Grealish,€28.00m,/jack-grealish/profil/spieler/203460
Patrik Schick,€27.00m,/patrik-schick/profil/spieler/242086
Charalampos Kostoulas,€25.00m,/charalampos-kostoulas/profil/spieler/1060087
Jean-Mattéo Bahoya,€25.00m,/jean-matteo-bahoya/profil/spieler/939964
Luiz Henrique,€25.00m,/luiz-henrique/profil/spieler/800175
Rodrigo Muniz,€25.00m,/rodrigo-muniz/profil/spieler/735571
Alberto Moleiro,€25.00m,/alberto-moleiro/profil/spieler/733576
Tolu Arokodare,€25.00m,/tolu-arokodare/profil/spieler/683571
Simon Adingra,€25.00m,/simon-adingra/profil/spieler/658536
Evan Ferguson,€25.00m,/evan-ferguson/profil/spieler/648046
Thiago Almada,€25.00m,/thiago-almada/profil/spieler/576028
Emmanuel Emegha,€25.00m,/emmanuel-emegha/profil/spieler/559328
Kang-in Lee,€25.00m,/kang-in-lee/profil/spieler/557149
Santiago Gimenez,€25.00m,/santiago-gimenez/profil/spieler/552955
Barış Alper Yılmaz,€25.00m,/baris-alper-yilmaz/profil/spieler/541537
Taty Castellanos,€25.00m,/taty-castellanos/profil/spieler/522784
Jamie Leweling,€25.00m,/jamie-leweling/profil/spieler/518505
Edon Zhegrova,€25.00m,/edon-zhegrova/profil/spieler/496857
Giacomo Raspadori,€25.00m,/giacomo-raspadori/profil/spieler/405885
Jadon Sancho,€25.00m,/jadon-sancho/profil/spieler/401173
Richarlison,€25.00m,/richarlison/profil/spieler/378710
Riccardo Orsolini,€25.00m,/riccardo-orsolini/profil/spieler/368482
Gabriel Jesus,€25.00m,/gabriel-jesus/profil/spieler/363205
Ritsu Doan,€25.00m,/ritsu-doan/profil/spieler/358504
Artem Dovbyk,€25.00m,/artem-dovbyk/profil/spieler/343537
Noa Lang,€25.00m,/noa-lang/profil/spieler/339332
Donyell Malen,€25.00m,/donyell-malen/profil/spieler/326029
Ivan Toney,€25.00m,/ivan-toney/profil/spieler/251664
Alexander Sørloth,€25.00m,/alexander-sorloth/profil/spieler/238407
Leroy Sané,€25.00m,/leroy-sane/profil/spieler/192565
Conrad Harder,€24.00m,/conrad-harder/profil/spieler/807386
Nico González,€24.00m,/nico-gonzalez/profil/spieler/486031
David Neres,€24.00m,/david-neres/profil/spieler/469822
Galeno,€24.00m,/galeno/profil/spieler/454121
Nikola Krstović,€24.00m,/nikola-krstovic/profil/spieler/434433
Youssef En-Nesyri,€24.00m,/youssef-en-nesyri/profil/spieler/433049
Gianluca Scamacca,€24.00m,/gianluca-scamacca/profil/spieler/315867
Ange-Yoan Bonny,€23.00m,/ange-yoan-bonny/profil/spieler/827734
Kerem Aktürkoğlu,€23.00m,/kerem-akturkoglu/profil/spieler/382528
Rômulo,€22.00m,/romulo/profil/spieler/957874
Stefanos Tzimas,€22.00m,/stefanos-tzimas/profil/spieler/950091
Roger Fernandes,€22.00m,/roger-fernandes/profil/spieler/906329
Igor Thiago,€22.00m,/igor-thiago/profil/spieler/739443
Samuel Lino,€22.00m,/samuel-lino/profil/spieler/694928
Matthis Abline,€22.00m,/matthis-abline/profil/spieler/659543
Wilfried Gnonto,€22.00m,/wilfried-gnonto/profil/spieler/627626
Beto,€22.00m,/beto/profil/spieler/595809
Dwight McNeil,€22.00m,/dwight-mcneil/profil/spieler/584769
Fotis Ioannidis,€22.00m,/fotis-ioannidis/profil/spieler/532444
Pepê,€22.00m,/pepe/profil/spieler/520662
Yuri Alberto,€22.00m,/yuri-alberto/profil/spieler/489893
Crysencio Summerville,€22.00m,/crysencio-summerville/profil/spieler/474701
Luis Suárez,€22.00m,/luis-suarez/profil/spieler/424784
Leon Bailey,€22.00m,/leon-bailey/profil/spieler/387626
Ermedin Demirovic,€22.00m,/ermedin-demirovic/profil/spieler/335457
Malcom,€22.00m,/malcom/profil/spieler/323704
Serge Gnabry,€22.00m,/serge-gnabry/profil/spieler/159471
Leandro Trossard,€22.00m,/leandro-trossard/profil/spieler/144028
Yan Diomande,€20.00m,/yan-diomande/profil/spieler/1390649
Karl Etta Eyong,€20.00m,/karl-etta-eyong/profil/spieler/1038950
Vitor Roque,€20.00m,/vitor-roque/profil/spieler/943837
Tyrique George,€20.00m,/tyrique-george/profil/spieler/936874
Sindre Walle Egeli,€20.00m,/sindre-walle-egeli/profil/spieler/923504
Anis Hadj Moussa,€20.00m,/anis-hadj-moussa/profil/spieler/917911
Kamaldeen Sulemana,€20.00m,/kamaldeen-sulemana/profil/spieler/746695
Wilson Odobert,€20.00m,/wilson-odobert/profil/spieler/743498
Chemsdine Talbi,€20.00m,/chemsdine-talbi/profil/spieler/743384
Matías Fernández-Pardo,€20.00m,/matias-fernandez-pardo/profil/spieler/724129
Victor Boniface,€20.00m,/victor-boniface/profil/spieler/656681
Yeremay Hernández,€20.00m,/yeremay-hernandez/profil/spieler/636385
Borja Sainz,€20.00m,/borja-sainz/profil/spieler/634461
Franjo Ivanović,€20.00m,/franjo-ivanovic/profil/spieler/548028
Amine Adli,€20.00m,/amine-adli/profil/spieler/532776
Brian Brobbey,€20.00m,/brian-brobbey/profil/spieler/473169
Gustav Isaksen,€20.00m,/gustav-isaksen/profil/spieler/462823
João Félix,€20.00m,/joao-felix/profil/spieler/462250
Pedro,€20.00m,/pedro/profil/spieler/432895
Igor Jesus,€20.00m,/igor-jesus/profil/spieler/432164
Roberto Piccoli,€20.00m,/roberto-piccoli/profil/spieler/432092
Josh Sargent,€20.00m,/josh-sargent/profil/spieler/393325
Hamed Traoré,€20.00m,/hamed-traore/profil/spieler/391065
Timothy Weah,€20.00m,/timothy-weah/profil/spieler/370846
Mikel Oyarzabal,€20.00m,/mikel-oyarzabal/profil/spieler/351478
Deniz Undav,€20.00m,/deniz-undav/profil/spieler/339314
Dodi Lukébakio,€20.00m,/dodi-lukebakio/profil/spieler/303259
Mattia Zaccagni,€20.00m,/mattia-zaccagni/profil/spieler/283735
Heung-min Son,€20.00m,/heung-min-son/profil/spieler/91845
Said El Mala,€18.00m,/said-el-mala/profil/spieler/1168219
Rayan,€18.00m,/rayan/profil/spieler/1012564
Eliezer Mayenda,€18.00m,/eliezer-mayenda/profil/spieler/967346
Issahaku Fatawu,€18.00m,/issahaku-fatawu/profil/spieler/864121
Ben Gannon-Doak,€18.00m,/ben-gannon-doak/profil/spieler/719673
Marcos Leonardo,€18.00m,/marcos-leonardo/profil/spieler/668267
Elye Wahi,€18.00m,/elye-wahi/profil/spieler/659542
Ander Barrenetxea,€18.00m,/ander-barrenetxea/profil/spieler/616369
Adam Hlozek,€18.00m,/adam-hlozek/profil/spieler/552057
Fisnik Asllani,€18.00m,/fisnik-asllani/profil/spieler/524290
Folarin Balogun,€18.00m,/folarin-balogun/profil/spieler/503770
Cucho Hernández,€18.00m,/cucho-hernandez/profil/spieler/459463
Emmanuel Latte Lath,€18.00m,/emmanuel-latte-lath/profil/spieler/392964
Joël Piroe,€18.00m,/joel-piroe/profil/spieler/369962
Noah Okafor,€18.00m,/noah-okafor/profil/spieler/346890
Federico Chiesa,€18.00m,/federico-chiesa/profil/spieler/341092
Eddie Nketiah,€18.00m,/eddie-nketiah/profil/spieler/340324
Albert Gudmundsson,€18.00m,/albert-gudmundsson/profil/spieler/305947
Ludovic Blas,€18.00m,/ludovic-blas/profil/spieler/288225
Harry Wilson,€18.00m,/harry-wilson/profil/spieler/279455
Aleksandar Mitrović,€18.00m,/aleksandar-mitrovic/profil/spieler/51152
Lionel Messi,€18.00m,/lionel-messi/profil/spieler/28003
Jonathan Rowe,€17.00m,/jonathan-rowe/profil/spieler/672381
Dorgeles Nene,€17.00m,/dorgeles-nene/profil/spieler/671591
Kaio Jorge,€17.00m,/kaio-jorge/profil/spieler/620477
Jhon Arias,€17.00m,/jhon-arias/profil/spieler/588989
Martin Terrier,€17.00m,/martin-terrier/profil/spieler/442891
Nicolas Kühn,€17.00m,/nicolas-kuhn/profil/spieler/336012
Tim Kleindienst,€17.00m,/tim-kleindienst/profil/spieler/193033
Mikey Moore,€16.00m,/mikey-moore/profil/spieler/1011147
Jaden Philogene,€16.00m,/jaden-philogene/profil/spieler/665390
Lucas Stassin,€16.00m,/lucas-stassin/profil/spieler/655012
Ricardo Pepi,€16.00m,/ricardo-pepi/profil/spieler/627207
Hugo Duro,€16.00m,/hugo-duro/profil/spieler/573775
Troy Parrott,€16.00m,/troy-parrott/profil/spieler/552655
Konstantin Tyukavin,€16.00m,/konstantin-tyukavin/profil/spieler/532676
Reiss Nelson,€16.00m,/reiss-nelson/profil/spieler/340325
Daniel James,€16.00m,/daniel-james/profil/spieler/319301
Dominic Calvert-Lewin,€16.00m,/dominic-calvert-lewin/profil/spieler/306024
Jacob Murphy,€16.00m,/jacob-murphy/profil/spieler/199527
Ibrahim Mbaye,€15.00m,/ibrahim-mbaye/profil/spieler/1185888
Christantus Uche,€15.00m,/christantus-uche/profil/spieler/1124005
Rio Ngumoha,€15.00m,/rio-ngumoha/profil/spieler/1108466
Bazoumana Touré,€15.00m,/bazoumana-toure/profil/spieler/1067904
George Ilenikhena,€15.00m,/george-ilenikhena/profil/spieler/1004834
William Gomes,€15.00m,/william-gomes/profil/spieler/1004725
Eli Kroupi,€15.00m,/eli-kroupi/profil/spieler/955357
Ernest Nuamah,€15.00m,/ernest-nuamah/profil/spieler/955070
Gonzalo García,€15.00m,/gonzalo-garcia/profil/spieler/935230
Yáser Asprilla,€15.00m,/yaser-asprilla/profil/spieler/857818
Karim Konaté,€15.00m,/karim-konate/profil/spieler/847278
Nelson Weiper,€15.00m,/nelson-weiper/profil/spieler/796213
Ilias Akhomach,€15.00m,/ilias-akhomach/profil/spieler/709969
Jay Stansfield,€15.00m,/jay-stansfield/profil/spieler/696346
Mohamed-Ali Cho,€15.00m,/mohamed-ali-cho/profil/spieler/670847
Andreas Schjelderup,€15.00m,/andreas-schjelderup/profil/spieler/670103
Carlos Álvarez,€15.00m,/carlos-alvarez/profil/spieler/668179
Jota Silva,€15.00m,/jota-silva/profil/spieler/663244
Orri Óskarsson,€15.00m,/orri-oskarsson/profil/spieler/660438
El Bilal Touré,€15.00m,/el-bilal-toure/profil/spieler/649016
Manfred Ugalde,€15.00m,/manfred-ugalde/profil/spieler/645173
Vladyslav Vanat,€15.00m,/vladyslav-vanat/profil/spieler/631821
Boulaye Dia,€15.00m,/boulaye-dia/profil/spieler/626913
Diego López,€15.00m,/diego-lopez/profil/spieler/617081
Tiago Tomás,€15.00m,/tiago-tomas/profil/spieler/616344
William Osula,€15.00m,/william-osula/profil/spieler/609556
Loum Tchaouna,€15.00m,/loum-tchaouna/profil/spieler/607226
Armand Laurienté,€15.00m,/armand-lauriente/profil/spieler/579930
Jack Clarke,€15.00m,/jack-clarke/profil/spieler/559794
Terem Moffi,€15.00m,/terem-moffi/profil/spieler/538874
Patrick Wimmer,€15.00m,/patrick-wimmer/profil/spieler/533295
Luis Sinisterra,€15.00m,/luis-sinisterra/profil/spieler/512385
Wilson Isidor,€15.00m,/wilson-isidor/profil/spieler/494237
Facundo Torres,€15.00m,/facundo-torres/profil/spieler/465822
Ansgar Knauff,€15.00m,/ansgar-knauff/profil/spieler/429874
Daizen Maeda,€15.00m,/daizen-maeda/profil/spieler/420931
Yunus Akgün,€15.00m,/yunus-akgun/profil/spieler/396908
Nathan Tella,€15.00m,/nathan-tella/profil/spieler/340322
Tammy Abraham,€15.00m,/tammy-abraham/profil/spieler/331726
Andrea Pinamonti,€15.00m,/andrea-pinamonti/profil/spieler/315865
Viktor Tsygankov,€15.00m,/viktor-tsygankov/profil/spieler/264372
Iñaki Williams,€15.00m,/inaki-williams/profil/spieler/255508
Takumi Minamino,€15.00m,/takumi-minamino/profil/spieler/165793
Romelu Lukaku,€15.00m,/romelu-lukaku/profil/spieler/96341
Kauã Elias,€14.00m,/kaua-elias/profil/spieler/1119009
Jaidon Anthony,€14.00m,/jaidon-anthony/profil/spieler/684210
Samuel Mbangula,€14.00m,/samuel-mbangula/profil/spieler/654991
Armando Broja,€14.00m,/armando-broja/profil/spieler/571743
Kévin Denkey,€14.00m,/kevin-denkey/profil/spieler/482072
Andreas Skov Olsen,€14.00m,/andreas-skov-olsen/profil/spieler/432982
Paulinho,€14.00m,/paulinho/profil/spieler/428791
Manor Solomon,€14.00m,/manor-solomon/profil/spieler/396638
Simon Banza,€14.00m,/simon-banza/profil/spieler/344869
Taiwo Awoniyi,€14.00m,/taiwo-awoniyi/profil/spieler/295313
Steven Bergwijn,€14.00m,/steven-bergwijn/profil/spieler/284165
Franculino,€13.00m,/franculino/profil/spieler/929090
Promise David,€13.00m,/promise-david/profil/spieler/888785
Mika Godts,€13.00m,/mika-godts/profil/spieler/748804
Kasper Dolberg,€13.00m,/kasper-dolberg/profil/spieler/283196
Allan Saint-Maximin,€13.00m,/allan-saint-maximin/profil/spieler/272642
Christian Kofane,€12.00m,/christian-kofane/profil/spieler/1364454
