Player,Market Value,profile_href
Lucas Chevalier,€40.00m,/lucas-chevalier/profil/spieler/463600
Diogo Costa,€40.00m,/diogo-costa/profil/spieler/357153
Gianluigi Donnarumma,€40.00m,/gianluigi-donnarumma/profil/spieler/315858
David Raya,€40.00m,/david-raya/profil/spieler/262749
Gregor Kobel,€40.00m,/gregor-kobel/profil/spieler/257814
Bart Verbruggen,€35.00m,/bart-verbruggen/profil/spieler/565093
Guglielmo Vicario,€32.00m,/guglielmo-vicario/profil/spieler/286047
James Trafford,€30.00m,/james-trafford/profil/spieler/566799
Anatoliy Trubin,€28.00m,/anatoliy-trubin/profil/spieler/537844
Giorgi Mamardashvili,€28.00m,/giorgi-mamardashvili/profil/spieler/502676
Djordje Petrovic,€28.00m,/djordje-petrovic/profil/spieler/465555
Unai Simón,€28.00m,/unai-simon/profil/spieler/262396
Joan García,€25.00m,/joan-garcia/profil/spieler/561613
Marco Carnesecchi,€25.00m,/marco-carnesecchi/profil/spieler/459763
Mile Svilar,€25.00m,/mile-svilar/profil/spieler/338670
Dean Henderson,€25.00m,/dean-henderson/profil/spieler/258919
Mike Maignan,€25.00m,/mike-maignan/profil/spieler/182906
Guillaume Restes,€20.00m,/guillaume-restes/profil/spieler/912902
Senne Lammens,€20.00m,/senne-lammens/profil/spieler/503883
Marcin Bulka,€20.00m,/marcin-bulka/profil/spieler/465955
Zion Suzuki,€20.00m,/zion-suzuki/profil/spieler/432298
Robert Sánchez,€20.00m,/robert-sanchez/profil/spieler/403151
Caoimhín Kelleher,€20.00m,/caoimhin-kelleher/profil/spieler/340918
André Onana,€20.00m,/andre-onana/profil/spieler/234509
Jan Oblak,€20.00m,/jan-oblak/profil/spieler/121483
Thibaut Courtois,€20.00m,/thibaut-courtois/profil/spieler/108390
Alisson,€20.00m,/alisson/profil/spieler/105470
Filip Jørgensen,€18.00m,/filip-jorgensen/profil/spieler/585323
Noah Atubolu,€18.00m,/noah-atubolu/profil/spieler/526845
Andriy Lunin,€18.00m,/andriy-lunin/profil/spieler/404839
Mads Hermansen,€18.00m,/mads-hermansen/profil/spieler/400536
Matvey Safonov,€18.00m,/matvey-safonov/profil/spieler/318470
Michele Di Gregorio,€18.00m,/michele-di-gregorio/profil/spieler/301238
Vanja Milinković-Savić,€18.00m,/vanja-milinkovic-savic/profil/spieler/257474
Alex Meret,€18.00m,/alex-meret/profil/spieler/240414
Ederson,€18.00m,/ederson/profil/spieler/238223
Jordan Pickford,€18.00m,/jordan-pickford/profil/spieler/130164
Lucas Perri,€16.00m,/lucas-perri/profil/spieler/352041
Emiliano Martínez,€16.00m,/emiliano-martinez/profil/spieler/111873
Antonín Kinský,€15.00m,/antonin-kinsky/profil/spieler/725912
Julen Agirrezabala,€15.00m,/julen-agirrezabala/profil/spieler/625014
Uğurcan Çakır,€15.00m,/ugurcan-cakir/profil/spieler/292199
Álex Remiro,€15.00m,/alex-remiro/profil/spieler/212862
Illan Meslier,€14.00m,/illan-meslier/profil/spieler/542586
Aaron Ramsdale,€14.00m,/aaron-ramsdale/profil/spieler/427568
Kamil Grabara,€14.00m,/kamil-grabara/profil/spieler/346551
Konstantinos Tzolakis,€13.00m,/konstantinos-tzolakis/profil/spieler/554389
Mike Penders,€12.00m,/mike-penders/profil/spieler/834397
Robin Roefs,€12.00m,/robin-roefs/profil/spieler/646991
Jonas Urbig,€12.00m,/jonas-urbig/profil/spieler/607720
Anthony Patterson,€12.00m,/anthony-patterson/profil/spieler/475946
Yehvann Diouf,€12.00m,/yehvann-diouf/profil/spieler/448632
Josep Martínez,€12.00m,/josep-martinez/profil/spieler/388516
Finn Dahmen,€12.00m,/finn-dahmen/profil/spieler/251299
Alexander Nübel,€12.00m,/alexander-nubel/profil/spieler/195778
Brice Samba,€12.00m,/brice-samba/profil/spieler/191056
Bento,€11.00m,/bento/profil/spieler/691906
Elia Caprile,€11.00m,/elia-caprile/profil/spieler/421873
Kauã Santos,€10.00m,/kaua-santos/profil/spieler/997861
Luiz Júnior,€10.00m,/luiz-junior/profil/spieler/712107
Hugo Souza,€10.00m,/hugo-souza/profil/spieler/574901
Michael Cooper,€10.00m,/michael-cooper/profil/spieler/533078
Mark Flekken,€10.00m,/mark-flekken/profil/spieler/125714
Bernd Leno,€10.00m,/bernd-leno/profil/spieler/72476
Gavin Bazunu,€9.00m,/gavin-bazunu/profil/spieler/585550
Marvin Keller,€9.00m,/marvin-keller/profil/spieler/500763
Dominik Kotarski,€9.00m,/dominik-kotarski/profil/spieler/370997
Alphonse Areola,€9.00m,/alphonse-areola/profil/spieler/120629
Lukas Hornicek,€8.00m,/lukas-hornicek/profil/spieler/629773
Stanislav Agkatsev,€8.00m,/stanislav-agkatsev/profil/spieler/617520
Maarten Vandevoordt,€8.00m,/maarten-vandevoordt/profil/spieler/486046
John Victor,€8.00m,/john-victor/profil/spieler/432914
Luis Malagón,€8.00m,/luis-malagon/profil/spieler/423619
Gabriel Brazão,€8.00m,/gabriel-brazao/profil/spieler/371247
Berke Özer,€8.00m,/berke-ozer/profil/spieler/361256
Agustín Rossi,€8.00m,/agustin-rossi/profil/spieler/352324
Altay Bayındır,€8.00m,/altay-bayindir/profil/spieler/336077
Iñaki Peña,€8.00m,/inaki-pena/profil/spieler/283170
Viktor Johansson,€8.00m,/viktor-johansson/profil/spieler/273742
