Player,Market Value,profile_href
Jude Bellingham,€180.00m,/jude-bellingham/profil/spieler/581678
Pedri,€140.00m,/pedri/profil/spieler/683840
Jamal Musiala,€140.00m,/jamal-musiala/profil/spieler/580195
Florian Wirtz,€130.00m,/florian-wirtz/profil/spieler/598577
Federico Valverde,€130.00m,/federico-valverde/profil/spieler/369081
Cole Palmer,€120.00m,/cole-palmer/profil/spieler/568177
Declan Rice,€120.00m,/declan-rice/profil/spieler/357662
Moisés Caicedo,€100.00m,/moises-caicedo/profil/spieler/687626
Alexis Mac Allister,€100.00m,/alexis-mac-allister/profil/spieler/534033
João Neves,€90.00m,/joao-neves/profil/spieler/670681
Vitinha,€90.00m,/vitinha/profil/spieler/487469
Ryan Gravenberch,€90.00m,/ryan-gravenberch/profil/spieler/478573
Rodri,€90.00m,/rodri/profil/spieler/357565
Dominik Szoboszlai,€85.00m,/dominik-szoboszlai/profil/spieler/451276
Enzo Fernández,€80.00m,/enzo-fernandez/profil/spieler/648195
Bruno Guimarães,€80.00m,/bruno-guimaraes/profil/spieler/520624
Martin Ødegaard,€80.00m,/martin-odegaard/profil/spieler/316264
Aurélien Tchouaméni,€75.00m,/aurelien-tchouameni/profil/spieler/413112
Sandro Tonali,€75.00m,/sandro-tonali/profil/spieler/397033
Xavi Simons,€70.00m,/xavi-simons/profil/spieler/566931
Tijjani Reijnders,€70.00m,/tijjani-reijnders/profil/spieler/460939
Martín Zubimendi,€70.00m,/martin-zubimendi/profil/spieler/423440
Morgan Rogers,€65.00m,/morgan-rogers/profil/spieler/503743
Eberechi Eze,€65.00m,/eberechi-eze/profil/spieler/479999
Morgan Gibbs-White,€65.00m,/morgan-gibbs-white/profil/spieler/429014
Nicolò Barella,€65.00m,/nicolo-barella/profil/spieler/255942
Carlos Baleba,€60.00m,/carlos-baleba/profil/spieler/973085
Arda Güler,€60.00m,/arda-guler/profil/spieler/861410
Adam Wharton,€60.00m,/adam-wharton/profil/spieler/744149
Fermín López,€60.00m,/fermin-lopez/profil/spieler/636703
Oihan Sancet,€60.00m,/oihan-sancet/profil/spieler/571020
Dani Olmo,€60.00m,/dani-olmo/profil/spieler/293385
Nico Paz,€55.00m,/nico-paz/profil/spieler/948294
Aleksandar Pavlovic,€55.00m,/aleksandar-pavlovic/profil/spieler/792380
Pablo Barrios,€55.00m,/pablo-barrios/profil/spieler/775605
Warren Zaïre-Emery,€50.00m,/warren-zaire-emery/profil/spieler/810092
Eduardo Camavinga,€50.00m,/eduardo-camavinga/profil/spieler/640428
Manu Koné,€50.00m,/manu-kone/profil/spieler/624690
Morten Hjulmand,€50.00m,/morten-hjulmand/profil/spieler/461496
Dejan Kulusevski,€50.00m,/dejan-kulusevski/profil/spieler/431755
Scott McTominay,€50.00m,/scott-mctominay/profil/spieler/315969
Ethan Nwaneri,€45.00m,/ethan-nwaneri/profil/spieler/890719
Kobbie Mainoo,€45.00m,/kobbie-mainoo/profil/spieler/820374
Can Uzun,€45.00m,/can-uzun/profil/spieler/816585
Éderson,€45.00m,/ederson/profil/spieler/607854
Elliot Anderson,€45.00m,/elliot-anderson/profil/spieler/567576
Angelo Stiller,€45.00m,/angelo-stiller/profil/spieler/443710
Curtis Jones,€45.00m,/curtis-jones/profil/spieler/433188
Frenkie de Jong,€45.00m,/frenkie-de-jong/profil/spieler/326330
Bruno Fernandes,€45.00m,/bruno-fernandes/profil/spieler/240306
Joshua Kimmich,€45.00m,/joshua-kimmich/profil/spieler/161056
Amadou Onana,€42.00m,/amadou-onana/profil/spieler/485706
Rodrigo Mora,€40.00m,/rodrigo-mora/profil/spieler/957653
Hugo Larsson,€40.00m,/hugo-larsson/profil/spieler/931838
Lucas Bergvall,€40.00m,/lucas-bergvall/profil/spieler/866246
João Gomes,€40.00m,/joao-gomes/profil/spieler/735570
Gavi,€40.00m,/gavi/profil/spieler/646740
Jacob Ramsey,€40.00m,/jacob-ramsey/profil/spieler/503749
Conor Gallagher,€40.00m,/conor-gallagher/profil/spieler/488362
Nico González,€40.00m,/nico-gonzalez/profil/spieler/466805
Khéphren Thuram,€40.00m,/khephren-thuram/profil/spieler/463618
Boubacar Kamara,€40.00m,/boubacar-kamara/profil/spieler/394327
Fabián Ruiz,€40.00m,/fabian-ruiz/profil/spieler/350219
Youri Tielemans,€38.00m,/youri-tielemans/profil/spieler/249565
Archie Gray,€35.00m,/archie-gray/profil/spieler/922693
