,Player,Player ID,MV API URL,Date,Year,Market Value (text),Market Value,Team,Age
0,Pau Cubarsí,962110,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/962110,2023-10-13,2023,€500k,500000,FC Barcelona Atlètic,16
1,Pau Cubarsí,962110,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/962110,2023-12-20,2023,€1.50m,1500000,FC Barcelona Atlètic,16
2,Pau Cubarsí,962110,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/962110,2024-03-21,2024,€25.00m,25000000,FC Barcelona,17
3,Pau Cubarsí,962110,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/962110,2024-06-07,2024,€30.00m,30000000,FC Barcelona,17
4,Pau Cubarsí,962110,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/962110,2024-10-11,2024,€40.00m,40000000,FC Barcelona,17
5,Pau Cubarsí,962110,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/962110,2024-12-27,2024,€70.00m,70000000,FC Barcelona,17
6,Pau Cubarsí,962110,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/962110,2025-06-09,2025,€80.00m,80000000,FC Barcelona,18
7,Pau Cubarsí,962110,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/962110,2025-12-12,2025,€80.00m,80000000,FC Barcelona,18
8,William Saliba,495666,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/495666,2018-10-24,2018,€3.00m,3000000,AS Saint-Étienne,17
9,William Saliba,495666,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/495666,2018-12-17,2018,€3.00m,3000000,AS Saint-Étienne,17
10,William Saliba,495666,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/495666,2019-06-03,2019,€12.00m,12000000,AS Saint-Étienne,18
11,William Saliba,495666,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/495666,2019-09-27,2019,€25.00m,25000000,AS Saint-Étienne,18
12,William Saliba,495666,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/495666,2019-12-19,2019,€25.00m,25000000,AS Saint-Étienne,18
13,William Saliba,495666,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/495666,2020-04-08,2020,€22.50m,22500000,AS Saint-Étienne,19
14,William Saliba,495666,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/495666,2020-10-13,2020,€22.50m,22500000,Arsenal FC,19
15,William Saliba,495666,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/495666,2020-12-17,2020,€17.00m,17000000,Arsenal FC,19
