,Player,Player ID,MV API URL,Date,Year,Market Value (text),Market Value,Team,Age
0,Lamine Yamal,937958,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/937958,2023-08-21,2023,€25.00m,25000000,FC Barcelona,16
1,Lamine Yamal,937958,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/937958,2023-10-13,2023,€50.00m,50000000,FC Barcelona,16
2,Lamine Yamal,937958,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/937958,2023-12-22,2023,€60.00m,60000000,FC Barcelona,16
3,Lamine Yamal,937958,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/937958,2024-03-21,2024,€75.00m,75000000,FC Barcelona,16
4,Lamine Yamal,937958,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/937958,2024-06-07,2024,€90.00m,90000000,FC Barcelona,16
5,Lamine Yamal,937958,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/937958,2024-07-18,2024,€120.00m,120000000,FC Barcelona,17
6,Lamine Yamal,937958,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/937958,2024-10-11,2024,€150.00m,150000000,FC Barcelona,17
7,Lamine Yamal,937958,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/937958,2024-12-27,2024,€180.00m,180000000,FC Barcelona,17
8,Lamine Yamal,937958,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/937958,2025-06-09,2025,€200.00m,200000000,FC Barcelona,17
9,Lamine Yamal,937958,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/937958,2025-12-12,2025,€200.00m,200000000,FC Barcelona,18
10,Erling Haaland,418560,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/418560,2016-12-18,2016,€200k,200000,Bryne FK,16
11,Erling Haaland,418560,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/418560,2017-12-23,2017,€300k,300000,Molde FK,17
12,Erling Haaland,418560,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/418560,2018-09-10,2018,€2.00m,2000000,Molde FK,18
13,Erling Haaland,418560,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/418560,2018-12-30,2018,€5.00m,5000000,Molde FK,18
14,Erling Haaland,418560,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/418560,2019-06-03,2019,€5.00m,5000000,Red Bull Salzburg,18
15,Erling Haaland,418560,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/418560,2019-09-03,2019,€12.00m,12000000,Red Bull Salzburg,19
16,Erling Haaland,418560,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/418560,2019-11-07,2019,€30.00m,30000000,Red Bull Salzburg,19
17,Erling Haaland,418560,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/418560,2019-12-16,2019,€45.00m,45000000,Red Bull Salzburg,19
18,Erling Haaland,418560,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/418560,2020-02-11,2020,€60.00m,60000000,Borussia Dortmund,19
19,Erling Haaland,418560,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/418560,2020-03-11,2020,€80.00m,80000000,Borussia Dortmund,19
