,Player,Player ID,MV API URL,Date,Year,Market Value (text),Market Value,Team,Age
0,Lucas Chevalier,463600,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/463600,2020-08-03,2020,€300k,300000,LOSC Lille,18
1,Lucas Chevalier,463600,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/463600,2020-10-15,2020,€300k,300000,LOSC Lille,18
2,Lucas Chevalier,463600,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/463600,2021-01-07,2021,€500k,500000,LOSC Lille,19
3,Lucas Chevalier,463600,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/463600,2021-06-04,2021,€500k,500000,LOSC Lille,19
4,Lucas Chevalier,463600,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/463600,2021-10-27,2021,€800k,800000,Valenciennes FC,19
5,Lucas Chevalier,463600,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/463600,2021-12-27,2021,€1.20m,1200000,Valenciennes FC,20
6,Lucas Chevalier,463600,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/463600,2022-03-24,2022,€2.00m,2000000,Valenciennes FC,20
7,Lucas Chevalier,463600,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/463600,2022-06-02,2022,€2.50m,2500000,Valenciennes FC,20
8,Lucas Chevalier,463600,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/463600,2022-11-02,2022,€5.00m,5000000,LOSC Lille,20
9,Lucas Chevalier,463600,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/463600,2023-03-27,2023,€10.00m,10000000,LOSC Lille,21
10,Lucas Chevalier,463600,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/463600,2023-06-27,2023,€10.00m,10000000,LOSC Lille,21
11,Lucas Chevalier,463600,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/463600,2023-12-18,2023,€18.00m,18000000,LOSC Lille,22
12,Lucas Chevalier,463600,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/463600,2024-03-19,2024,€22.00m,22000000,LOSC Lille,22
13,Lucas Chevalier,463600,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/463600,2024-06-03,2024,€25.00m,25000000,LOSC Lille,22
14,Lucas Chevalier,463600,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/463600,2024-12-10,2024,€30.00m,30000000,LOSC Lille,23
15,Lucas Chevalier,463600,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/463600,2025-06-03,2025,€30.00m,30000000,LOSC Lille,23
16,Lucas Chevalier,463600,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/463600,2025-10-10,2025,€40.00m,40000000,Paris Saint-Germain,23
17,Lucas Chevalier,463600,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/463600,2025-12-15,2025,€35.00m,35000000,Paris Saint-Germain,24
18,Diogo Costa,357153,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/357153,2016-09-30,2016,€25k,25000,FC Porto B,17
19,Diogo Costa,357153,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/357153,2017-06-30,2017,€100k,100000,FC Porto B,17
20,Diogo Costa,357153,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/357153,2017-09-08,2017,€500k,500000,FC Porto B,17
21,Diogo Costa,357153,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/357153,2018-02-23,2018,€1.00m,1000000,FC Porto B,18
22,Diogo Costa,357153,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/357153,2018-06-29,2018,€2.00m,2000000,FC Porto B,18
23,Diogo Costa,357153,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/357153,2019-02-12,2019,€3.00m,3000000,FC Porto B,19
24,Diogo Costa,357153,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/357153,2019-06-07,2019,€4.00m,4000000,FC Porto B,19
25,Diogo Costa,357153,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/357153,2019-12-30,2019,€5.00m,5000000,FC Porto,20
26,Diogo Costa,357153,https://www.transfermarkt.com/ceapi/marketValueDevelopment/graph/357153,2020-04-08,2020,€4.50m,4500000,FC Porto,20
